"industry_raw","industry_code","industry_level","year","active_enterprises"
"105 : Manufacture of dairy products","105","group","2019",755
"105 : Manufacture of dairy products","105","group","2020",765
"105 : Manufacture of dairy products","105","group","2021",810
"105 : Manufacture of dairy products","105","group","2022",865
"105 : Manufacture of dairy products","105","group","2023",840
"105 : Manufacture of dairy products","105","group","2024",795
"106 : Manufacture of grain mill products, starches and starch products","106","group","2019",195
"106 : Manufacture of grain mill products, starches and starch products","106","group","2020",195
"106 : Manufacture of grain mill products, starches and starch products","106","group","2021",205
"106 : Manufacture of grain mill products, starches and starch products","106","group","2022",220
"106 : Manufacture of grain mill products, starches and starch products","106","group","2023",210
"106 : Manufacture of grain mill products, starches and starch products","106","group","2024",200
"107 : Manufacture of bakery and farinaceous products","107","group","2019",3140
"107 : Manufacture of bakery and farinaceous products","107","group","2020",3255
"107 : Manufacture of bakery and farinaceous products","107","group","2021",3635
"107 : Manufacture of bakery and farinaceous products","107","group","2022",3780
"107 : Manufacture of bakery and farinaceous products","107","group","2023",3640
"107 : Manufacture of bakery and farinaceous products","107","group","2024",3535
"108 : Manufacture of other food products","108","group","2019",2435
"108 : Manufacture of other food products","108","group","2020",2675
"108 : Manufacture of other food products","108","group","2021",2920
"108 : Manufacture of other food products","108","group","2022",3090
"108 : Manufacture of other food products","108","group","2023",3110
"108 : Manufacture of other food products","108","group","2024",3120
"109 : Manufacture of prepared animal feeds","109","group","2019",540
"109 : Manufacture of prepared animal feeds","109","group","2020",565
"109 : Manufacture of prepared animal feeds","109","group","2021",620
"109 : Manufacture of prepared animal feeds","109","group","2022",655
"109 : Manufacture of prepared animal feeds","109","group","2023",635
"109 : Manufacture of prepared animal feeds","109","group","2024",610
"11 : Manufacture of beverages","11","division","2019",2835
"11 : Manufacture of beverages","11","division","2020",2965
"11 : Manufacture of beverages","11","division","2021",3105
"11 : Manufacture of beverages","11","division","2022",3115
"11 : Manufacture of beverages","11","division","2023",3110
"11 : Manufacture of beverages","11","division","2024",3015
"110 : Manufacture of beverages","110","group","2019",2835
"110 : Manufacture of beverages","110","group","2020",2965
"110 : Manufacture of beverages","110","group","2021",3105
"110 : Manufacture of beverages","110","group","2022",3115
"110 : Manufacture of beverages","110","group","2023",3110
"110 : Manufacture of beverages","110","group","2024",3015
"12 : Manufacture of tobacco products","12","division","2019",10
"12 : Manufacture of tobacco products","12","division","2020",5
"12 : Manufacture of tobacco products","12","division","2021",15
"12 : Manufacture of tobacco products","12","division","2022",5
"12 : Manufacture of tobacco products","12","division","2023",5
"12 : Manufacture of tobacco products","12","division","2024",5
"120 : Manufacture of tobacco products","120","group","2019",10
"120 : Manufacture of tobacco products","120","group","2020",5
"120 : Manufacture of tobacco products","120","group","2021",15
"120 : Manufacture of tobacco products","120","group","2022",5
"120 : Manufacture of tobacco products","120","group","2023",5
"120 : Manufacture of tobacco products","120","group","2024",5
"13 : Manufacture of textiles","13","division","2019",4885
"13 : Manufacture of textiles","13","division","2020",4745
"13 : Manufacture of textiles","13","division","2021",4800
"13 : Manufacture of textiles","13","division","2022",4980
"13 : Manufacture of textiles","13","division","2023",4835
"13 : Manufacture of textiles","13","division","2024",4860
"131 : Preparation and spinning of textile fibres","131","group","2019",135
"131 : Preparation and spinning of textile fibres","131","group","2020",125
"131 : Preparation and spinning of textile fibres","131","group","2021",125
"131 : Preparation and spinning of textile fibres","131","group","2022",140
"131 : Preparation and spinning of textile fibres","131","group","2023",125
"131 : Preparation and spinning of textile fibres","131","group","2024",115
"132 : Weaving of textiles","132","group","2019",215
"132 : Weaving of textiles","132","group","2020",220
"132 : Weaving of textiles","132","group","2021",230
"132 : Weaving of textiles","132","group","2022",245
"132 : Weaving of textiles","132","group","2023",235
"132 : Weaving of textiles","132","group","2024",215
"133 : Finishing of textiles","133","group","2019",1195
"133 : Finishing of textiles","133","group","2020",1190
"133 : Finishing of textiles","133","group","2021",1220
"133 : Finishing of textiles","133","group","2022",1260
"133 : Finishing of textiles","133","group","2023",1210
"133 : Finishing of textiles","133","group","2024",1255
"139 : Manufacture of other textiles","139","group","2019",3340
"139 : Manufacture of other textiles","139","group","2020",3210
"139 : Manufacture of other textiles","139","group","2021",3225
"139 : Manufacture of other textiles","139","group","2022",3335
"139 : Manufacture of other textiles","139","group","2023",3265
"139 : Manufacture of other textiles","139","group","2024",3275
"14 : Manufacture of wearing apparel","14","division","2019",4475
"14 : Manufacture of wearing apparel","14","division","2020",4630
"14 : Manufacture of wearing apparel","14","division","2021",4910
"14 : Manufacture of wearing apparel","14","division","2022",4715
"14 : Manufacture of wearing apparel","14","division","2023",4295
"14 : Manufacture of wearing apparel","14","division","2024",4020
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2019",4265
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2020",4420
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2021",4685
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2022",4495
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2023",4090
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2024",3830
"142 : Manufacture of articles of fur","142","group","2019",10
"142 : Manufacture of articles of fur","142","group","2020",5
"142 : Manufacture of articles of fur","142","group","2021",10
"142 : Manufacture of articles of fur","142","group","2022",10
"142 : Manufacture of articles of fur","142","group","2023",10
"142 : Manufacture of articles of fur","142","group","2024",5
"143 : Manufacture of knitted and crocheted apparel","143","group","2019",200
"143 : Manufacture of knitted and crocheted apparel","143","group","2020",205
"143 : Manufacture of knitted and crocheted apparel","143","group","2021",215
"143 : Manufacture of knitted and crocheted apparel","143","group","2022",210
"143 : Manufacture of knitted and crocheted apparel","143","group","2023",195
"143 : Manufacture of knitted and crocheted apparel","143","group","2024",185
"15 : Manufacture of leather and related products","15","division","2019",705
"15 : Manufacture of leather and related products","15","division","2020",695
"15 : Manufacture of leather and related products","15","division","2021",715
"15 : Manufacture of leather and related products","15","division","2022",720
"15 : Manufacture of leather and related products","15","division","2023",690
"15 : Manufacture of leather and related products","15","division","2024",660
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2019",500
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2020",505
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2021",510
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2022",510
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2023",485
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2024",480
"152 : Manufacture of footwear","152","group","2019",205
"152 : Manufacture of footwear","152","group","2020",190
"152 : Manufacture of footwear","152","group","2021",205
"152 : Manufacture of footwear","152","group","2022",210
"152 : Manufacture of footwear","152","group","2023",205
"152 : Manufacture of footwear","152","group","2024",180
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2019",10300
