"industry_raw","industry_code","industry_level","year","active_enterprises"
"243 : Manufacture of other products of first processing of steel","243","group","2024",70
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2019",355
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2020",350
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2021",355
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2022",365
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2023",355
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2024",345
"245 : Casting of metals","245","group","2019",405
"245 : Casting of metals","245","group","2020",400
"245 : Casting of metals","245","group","2021",385
"245 : Casting of metals","245","group","2022",390
"245 : Casting of metals","245","group","2023",400
"245 : Casting of metals","245","group","2024",370
"25 : Manufacture of fabricated metal products, except machinery and equipment","25","division","2019",29330
"25 : Manufacture of fabricated metal products, except machinery and equipment","25","division","2020",28525
"25 : Manufacture of fabricated metal products, except machinery and equipment","25","division","2021",28445
"25 : Manufacture of fabricated metal products, except machinery and equipment","25","division","2022",26585
"25 : Manufacture of fabricated metal products, except machinery and equipment","25","division","2023",24480
"25 : Manufacture of fabricated metal products, except machinery and equipment","25","division","2024",23375
"251 : Manufacture of structural metal products","251","group","2019",4970
"251 : Manufacture of structural metal products","251","group","2020",4960
"251 : Manufacture of structural metal products","251","group","2021",5005
"251 : Manufacture of structural metal products","251","group","2022",5105
"251 : Manufacture of structural metal products","251","group","2023",5015
"251 : Manufacture of structural metal products","251","group","2024",4960
"252 : Manufacture of tanks, reservoirs and containers of metal","252","group","2019",265
"252 : Manufacture of tanks, reservoirs and containers of metal","252","group","2020",260
"252 : Manufacture of tanks, reservoirs and containers of metal","252","group","2021",275
"252 : Manufacture of tanks, reservoirs and containers of metal","252","group","2022",280
"252 : Manufacture of tanks, reservoirs and containers of metal","252","group","2023",275
"252 : Manufacture of tanks, reservoirs and containers of metal","252","group","2024",255
"253 : Manufacture of steam generators, except central heating hot water boilers","253","group","2019",85
"253 : Manufacture of steam generators, except central heating hot water boilers","253","group","2020",85
"253 : Manufacture of steam generators, except central heating hot water boilers","253","group","2021",85
"253 : Manufacture of steam generators, except central heating hot water boilers","253","group","2022",95
"253 : Manufacture of steam generators, except central heating hot water boilers","253","group","2023",95
"253 : Manufacture of steam generators, except central heating hot water boilers","253","group","2024",90
"254 : Manufacture of weapons and ammunition","254","group","2019",110
"254 : Manufacture of weapons and ammunition","254","group","2020",110
"254 : Manufacture of weapons and ammunition","254","group","2021",115
"254 : Manufacture of weapons and ammunition","254","group","2022",110
"254 : Manufacture of weapons and ammunition","254","group","2023",105
"254 : Manufacture of weapons and ammunition","254","group","2024",100
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","255","group","2019",580
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","255","group","2020",550
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","255","group","2021",520
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","255","group","2022",515
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","255","group","2023",490
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","255","group","2024",485
"256 : Treatment and coating of metals; machining","256","group","2019",17230
"256 : Treatment and coating of metals; machining","256","group","2020",16520
"256 : Treatment and coating of metals; machining","256","group","2021",16355
"256 : Treatment and coating of metals; machining","256","group","2022",14355
"256 : Treatment and coating of metals; machining","256","group","2023",12495
"256 : Treatment and coating of metals; machining","256","group","2024",11615
"257 : Manufacture of cutlery, tools and general hardware","257","group","2019",1810
"257 : Manufacture of cutlery, tools and general hardware","257","group","2020",1765
"257 : Manufacture of cutlery, tools and general hardware","257","group","2021",1840
"257 : Manufacture of cutlery, tools and general hardware","257","group","2022",1870
"257 : Manufacture of cutlery, tools and general hardware","257","group","2023",1785
"257 : Manufacture of cutlery, tools and general hardware","257","group","2024",1685
"259 : Manufacture of other fabricated metal products","259","group","2019",4280
"259 : Manufacture of other fabricated metal products","259","group","2020",4275
"259 : Manufacture of other fabricated metal products","259","group","2021",4250
"259 : Manufacture of other fabricated metal products","259","group","2022",4255
"259 : Manufacture of other fabricated metal products","259","group","2023",4220
"259 : Manufacture of other fabricated metal products","259","group","2024",4185
"26 : Manufacture of computer, electronic and optical products","26","division","2019",6435
"26 : Manufacture of computer, electronic and optical products","26","division","2020",6265
"26 : Manufacture of computer, electronic and optical products","26","division","2021",6275
"26 : Manufacture of computer, electronic and optical products","26","division","2022",6235
"26 : Manufacture of computer, electronic and optical products","26","division","2023",5965
"26 : Manufacture of computer, electronic and optical products","26","division","2024",5790
"261 : Manufacture of electronic components and boards","261","group","2019",950
"261 : Manufacture of electronic components and boards","261","group","2020",930
"261 : Manufacture of electronic components and boards","261","group","2021",915
"261 : Manufacture of electronic components and boards","261","group","2022",940
"261 : Manufacture of electronic components and boards","261","group","2023",905
"261 : Manufacture of electronic components and boards","261","group","2024",875
"262 : Manufacture of computers and peripheral equipment","262","group","2019",875
"262 : Manufacture of computers and peripheral equipment","262","group","2020",835
"262 : Manufacture of computers and peripheral equipment","262","group","2021",885
"262 : Manufacture of computers and peripheral equipment","262","group","2022",850
"262 : Manufacture of computers and peripheral equipment","262","group","2023",775
"262 : Manufacture of computers and peripheral equipment","262","group","2024",715
"263 : Manufacture of communication equipment","263","group","2019",1325
"263 : Manufacture of communication equipment","263","group","2020",1245
"263 : Manufacture of communication equipment","263","group","2021",1195
"263 : Manufacture of communication equipment","263","group","2022",1125
"263 : Manufacture of communication equipment","263","group","2023",1045
"263 : Manufacture of communication equipment","263","group","2024",1020
"264 : Manufacture of consumer electronics","264","group","2019",560
"264 : Manufacture of consumer electronics","264","group","2020",555
"264 : Manufacture of consumer electronics","264","group","2021",565
"264 : Manufacture of consumer electronics","264","group","2022",595
"264 : Manufacture of consumer electronics","264","group","2023",595
"264 : Manufacture of consumer electronics","264","group","2024",605
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","265","group","2019",2180
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","265","group","2020",2140
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","265","group","2021",2150
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","265","group","2022",2125
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","265","group","2023",2030
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","265","group","2024",1960
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","group","2019",145
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","group","2020",160
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","group","2021",160
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","group","2022",155
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","group","2023",155
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","group","2024",140
"267 : Manufacture of optical instruments and photographic equipment","267","group","2019",375
"267 : Manufacture of optical instruments and photographic equipment","267","group","2020",375
"267 : Manufacture of optical instruments and photographic equipment","267","group","2021",370
"267 : Manufacture of optical instruments and photographic equipment","267","group","2022",410
"267 : Manufacture of optical instruments and photographic equipment","267","group","2023",425
"267 : Manufacture of optical instruments and photographic equipment","267","group","2024",445
"268 : Manufacture of magnetic and optical media","268","group","2019",25
"268 : Manufacture of magnetic and optical media","268","group","2020",25
"268 : Manufacture of magnetic and optical media","268","group","2021",35
"268 : Manufacture of magnetic and optical media","268","group","2022",35
"268 : Manufacture of magnetic and optical media","268","group","2023",35
"268 : Manufacture of magnetic and optical media","268","group","2024",30
"27 : Manufacture of electrical equipment","27","division","2019",3245
"27 : Manufacture of electrical equipment","27","division","2020",3315
"27 : Manufacture of electrical equipment","27","division","2021",3350
"27 : Manufacture of electrical equipment","27","division","2022",3410
"27 : Manufacture of electrical equipment","27","division","2023",3330
"27 : Manufacture of electrical equipment","27","division","2024",3220
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","group","2019",915
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","group","2020",900
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","group","2021",900
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","group","2022",925
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","group","2023",920
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","group","2024",890
"272 : Manufacture of batteries and accumulators","272","group","2019",65
"272 : Manufacture of batteries and accumulators","272","group","2020",80
"272 : Manufacture of batteries and accumulators","272","group","2021",85
"272 : Manufacture of batteries and accumulators","272","group","2022",100
"272 : Manufacture of batteries and accumulators","272","group","2023",115
"272 : Manufacture of batteries and accumulators","272","group","2024",125
"273 : Manufacture of wiring and wiring devices","273","group","2019",365
"273 : Manufacture of wiring and wiring devices","273","group","2020",365
"273 : Manufacture of wiring and wiring devices","273","group","2021",385
"273 : Manufacture of wiring and wiring devices","273","group","2022",395
"273 : Manufacture of wiring and wiring devices","273","group","2023",380
"273 : Manufacture of wiring and wiring devices","273","group","2024",360
"274 : Manufacture of electric lighting equipment","274","group","2019",785
"274 : Manufacture of electric lighting equipment","274","group","2020",815
"274 : Manufacture of electric lighting equipment","274","group","2021",835
"274 : Manufacture of electric lighting equipment","274","group","2022",810
"274 : Manufacture of electric lighting equipment","274","group","2023",770
"274 : Manufacture of electric lighting equipment","274","group","2024",740
"275 : Manufacture of domestic appliances","275","group","2019",330
"275 : Manufacture of domestic appliances","275","group","2020",345
"275 : Manufacture of domestic appliances","275","group","2021",350
"275 : Manufacture of domestic appliances","275","group","2022",375
"275 : Manufacture of domestic appliances","275","group","2023",355
"275 : Manufacture of domestic appliances","275","group","2024",310
"279 : Manufacture of other electrical equipment","279","group","2019",785
"279 : Manufacture of other electrical equipment","279","group","2020",810
"279 : Manufacture of other electrical equipment","279","group","2021",795
"279 : Manufacture of other electrical equipment","279","group","2022",805
"279 : Manufacture of other electrical equipment","279","group","2023",790
"279 : Manufacture of other electrical equipment","279","group","2024",795
"28 : Manufacture of machinery and equipment n.e.c.","28","division","2019",8120
"28 : Manufacture of machinery and equipment n.e.c.","28","division","2020",8035
"28 : Manufacture of machinery and equipment n.e.c.","28","division","2021",7935
"28 : Manufacture of machinery and equipment n.e.c.","28","division","2022",8115
"28 : Manufacture of machinery and equipment n.e.c.","28","division","2023",7805
"28 : Manufacture of machinery and equipment n.e.c.","28","division","2024",7585
"281 : Manufacture of general-purpose machinery","281","group","2019",1145
"281 : Manufacture of general-purpose machinery","281","group","2020",1170
"281 : Manufacture of general-purpose machinery","281","group","2021",1175
"281 : Manufacture of general-purpose machinery","281","group","2022",1170
"281 : Manufacture of general-purpose machinery","281","group","2023",1140
"281 : Manufacture of general-purpose machinery","281","group","2024",1140
"282 : Manufacture of other general-purpose machinery","282","group","2019",3400
"282 : Manufacture of other general-purpose machinery","282","group","2020",3325
"282 : Manufacture of other general-purpose machinery","282","group","2021",3330
"282 : Manufacture of other general-purpose machinery","282","group","2022",3315
"282 : Manufacture of other general-purpose machinery","282","group","2023",3170
"282 : Manufacture of other general-purpose machinery","282","group","2024",3100
"283 : Manufacture of agricultural and forestry machinery","283","group","2019",715
"283 : Manufacture of agricultural and forestry machinery","283","group","2020",740
"283 : Manufacture of agricultural and forestry machinery","283","group","2021",665
"283 : Manufacture of agricultural and forestry machinery","283","group","2022",720
"283 : Manufacture of agricultural and forestry machinery","283","group","2023",720
"283 : Manufacture of agricultural and forestry machinery","283","group","2024",705
"284 : Manufacture of metal forming machinery and machine tools","284","group","2019",870
"284 : Manufacture of metal forming machinery and machine tools","284","group","2020",845
"284 : Manufacture of metal forming machinery and machine tools","284","group","2021",800
"284 : Manufacture of metal forming machinery and machine tools","284","group","2022",770
"284 : Manufacture of metal forming machinery and machine tools","284","group","2023",720
"284 : Manufacture of metal forming machinery and machine tools","284","group","2024",715
"289 : Manufacture of other special-purpose machinery","289","group","2019",1990
"289 : Manufacture of other special-purpose machinery","289","group","2020",1955
"289 : Manufacture of other special-purpose machinery","289","group","2021",1965
"289 : Manufacture of other special-purpose machinery","289","group","2022",2140
"289 : Manufacture of other special-purpose machinery","289","group","2023",2055
"289 : Manufacture of other special-purpose machinery","289","group","2024",1925
"29 : Manufacture of motor vehicles, trailers and semi-trailers","29","division","2019",3830
"29 : Manufacture of motor vehicles, trailers and semi-trailers","29","division","2020",3875
"29 : Manufacture of motor vehicles, trailers and semi-trailers","29","division","2021",4080
"29 : Manufacture of motor vehicles, trailers and semi-trailers","29","division","2022",4005
"29 : Manufacture of motor vehicles, trailers and semi-trailers","29","division","2023",3890
"29 : Manufacture of motor vehicles, trailers and semi-trailers","29","division","2024",3830
"291 : Manufacture of motor vehicles","291","group","2019",1055
"291 : Manufacture of motor vehicles","291","group","2020",1060
"291 : Manufacture of motor vehicles","291","group","2021",1225
"291 : Manufacture of motor vehicles","291","group","2022",1140
"291 : Manufacture of motor vehicles","291","group","2023",1095
"291 : Manufacture of motor vehicles","291","group","2024",1115
"292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","group","2019",1035
"292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","group","2020",1065
"292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","group","2021",1165
"292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","group","2022",1180
"292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","group","2023",1180
"292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","group","2024",1155
"293 : Manufacture of parts and accessories for motor vehicles","293","group","2019",1740
"293 : Manufacture of parts and accessories for motor vehicles","293","group","2020",1750
"293 : Manufacture of parts and accessories for motor vehicles","293","group","2021",1690
"293 : Manufacture of parts and accessories for motor vehicles","293","group","2022",1685
"293 : Manufacture of parts and accessories for motor vehicles","293","group","2023",1615
"293 : Manufacture of parts and accessories for motor vehicles","293","group","2024",1560
"30 : Manufacture of other transport equipment","30","division","2019",2595
"30 : Manufacture of other transport equipment","30","division","2020",2535
"30 : Manufacture of other transport equipment","30","division","2021",2580
"30 : Manufacture of other transport equipment","30","division","2022",2390
"30 : Manufacture of other transport equipment","30","division","2023",2180
"30 : Manufacture of other transport equipment","30","division","2024",2070
"301 : Building of ships and boats","301","group","2019",1025
"301 : Building of ships and boats","301","group","2020",1010
"301 : Building of ships and boats","301","group","2021",1035
"301 : Building of ships and boats","301","group","2022",1055
"301 : Building of ships and boats","301","group","2023",1020
"301 : Building of ships and boats","301","group","2024",950
"302 : Manufacture of railway locomotives and rolling stock","302","group","2019",210
"302 : Manufacture of railway locomotives and rolling stock","302","group","2020",235
"302 : Manufacture of railway locomotives and rolling stock","302","group","2021",225
"302 : Manufacture of railway locomotives and rolling stock","302","group","2022",175
"302 : Manufacture of railway locomotives and rolling stock","302","group","2023",130
"302 : Manufacture of railway locomotives and rolling stock","302","group","2024",125
"303 : Manufacture of air and spacecraft and related machinery","303","group","2019",885
"303 : Manufacture of air and spacecraft and related machinery","303","group","2020",830
"303 : Manufacture of air and spacecraft and related machinery","303","group","2021",830
"303 : Manufacture of air and spacecraft and related machinery","303","group","2022",665
"303 : Manufacture of air and spacecraft and related machinery","303","group","2023",545
"303 : Manufacture of air and spacecraft and related machinery","303","group","2024",525
"304 : Manufacture of military fighting vehicles","304","group","2019",20
"304 : Manufacture of military fighting vehicles","304","group","2020",15
"304 : Manufacture of military fighting vehicles","304","group","2021",15
"304 : Manufacture of military fighting vehicles","304","group","2022",15
"304 : Manufacture of military fighting vehicles","304","group","2023",15
"304 : Manufacture of military fighting vehicles","304","group","2024",15
"309 : Manufacture of transport equipment n.e.c.","309","group","2019",455
"309 : Manufacture of transport equipment n.e.c.","309","group","2020",445
"309 : Manufacture of transport equipment n.e.c.","309","group","2021",475
"309 : Manufacture of transport equipment n.e.c.","309","group","2022",480
"309 : Manufacture of transport equipment n.e.c.","309","group","2023",470
"309 : Manufacture of transport equipment n.e.c.","309","group","2024",455
"31 : Manufacture of furniture","31","division","2019",6960
"31 : Manufacture of furniture","31","division","2020",7025
"31 : Manufacture of furniture","31","division","2021",7365
"31 : Manufacture of furniture","31","division","2022",7525
"31 : Manufacture of furniture","31","division","2023",7450
"31 : Manufacture of furniture","31","division","2024",7225
"310 : Manufacture of furniture","310","group","2019",6960
"310 : Manufacture of furniture","310","group","2020",7025
"310 : Manufacture of furniture","310","group","2021",7365
"310 : Manufacture of furniture","310","group","2022",7525
"310 : Manufacture of furniture","310","group","2023",7450
"310 : Manufacture of furniture","310","group","2024",7225
"32 : Other manufacturing","32","division","2019",11170
"32 : Other manufacturing","32","division","2020",11370
"32 : Other manufacturing","32","division","2021",11380
"32 : Other manufacturing","32","division","2022",10945
"32 : Other manufacturing","32","division","2023",10880
"32 : Other manufacturing","32","division","2024",10595
"321 : Manufacture of jewellery, bijouterie and related articles","321","group","2019",1620
"321 : Manufacture of jewellery, bijouterie and related articles","321","group","2020",1630
"321 : Manufacture of jewellery, bijouterie and related articles","321","group","2021",1675
"321 : Manufacture of jewellery, bijouterie and related articles","321","group","2022",1795
"321 : Manufacture of jewellery, bijouterie and related articles","321","group","2023",1805
"321 : Manufacture of jewellery, bijouterie and related articles","321","group","2024",1800
"322 : Manufacture of musical instruments","322","group","2019",285
"322 : Manufacture of musical instruments","322","group","2020",295
"322 : Manufacture of musical instruments","322","group","2021",315
"322 : Manufacture of musical instruments","322","group","2022",315
"322 : Manufacture of musical instruments","322","group","2023",315
"322 : Manufacture of musical instruments","322","group","2024",305
"323 : Manufacture of sports goods","323","group","2019",900
"323 : Manufacture of sports goods","323","group","2020",940
"323 : Manufacture of sports goods","323","group","2021",1005
"323 : Manufacture of sports goods","323","group","2022",1005
"323 : Manufacture of sports goods","323","group","2023",960
"323 : Manufacture of sports goods","323","group","2024",945
"324 : Manufacture of games and toys","324","group","2019",745
"324 : Manufacture of games and toys","324","group","2020",765
"324 : Manufacture of games and toys","324","group","2021",850
"324 : Manufacture of games and toys","324","group","2022",910
"324 : Manufacture of games and toys","324","group","2023",900
"324 : Manufacture of games and toys","324","group","2024",830
"325 : Manufacture of medical and dental instruments and supplies","325","group","2019",2100
"325 : Manufacture of medical and dental instruments and supplies","325","group","2020",2165
"325 : Manufacture of medical and dental instruments and supplies","325","group","2021",2255
"325 : Manufacture of medical and dental instruments and supplies","325","group","2022",2160
"325 : Manufacture of medical and dental instruments and supplies","325","group","2023",2060
"325 : Manufacture of medical and dental instruments and supplies","325","group","2024",2000
"329 : Other manufacturing n.e.c.","329","group","2019",5520
"329 : Other manufacturing n.e.c.","329","group","2020",5575
"329 : Other manufacturing n.e.c.","329","group","2021",5280
"329 : Other manufacturing n.e.c.","329","group","2022",4760
"329 : Other manufacturing n.e.c.","329","group","2023",4840
"329 : Other manufacturing n.e.c.","329","group","2024",4715
"33 : Repair and installation of machinery and equipment","33","division","2019",16665
"33 : Repair and installation of machinery and equipment","33","division","2020",17135
"33 : Repair and installation of machinery and equipment","33","division","2021",16865
"33 : Repair and installation of machinery and equipment","33","division","2022",16395
"33 : Repair and installation of machinery and equipment","33","division","2023",16080
"33 : Repair and installation of machinery and equipment","33","division","2024",16225
"331 : Repair of fabricated metal products, machinery and equipment","331","group","2019",14260
"331 : Repair of fabricated metal products, machinery and equipment","331","group","2020",14700
"331 : Repair of fabricated metal products, machinery and equipment","331","group","2021",14410
"331 : Repair of fabricated metal products, machinery and equipment","331","group","2022",13910
"331 : Repair of fabricated metal products, machinery and equipment","331","group","2023",13665
"331 : Repair of fabricated metal products, machinery and equipment","331","group","2024",13830
"332 : Installation of industrial machinery and equipment","332","group","2019",2405
"332 : Installation of industrial machinery and equipment","332","group","2020",2435
"332 : Installation of industrial machinery and equipment","332","group","2021",2455
"332 : Installation of industrial machinery and equipment","332","group","2022",2485
"332 : Installation of industrial machinery and equipment","332","group","2023",2415
"332 : Installation of industrial machinery and equipment","332","group","2024",2395
"35 : Electricity, gas, steam and air conditioning supply","35","division","2019",6120
"35 : Electricity, gas, steam and air conditioning supply","35","division","2020",6125
"35 : Electricity, gas, steam and air conditioning supply","35","division","2021",6270
"35 : Electricity, gas, steam and air conditioning supply","35","division","2022",6235
"35 : Electricity, gas, steam and air conditioning supply","35","division","2023",6270
"35 : Electricity, gas, steam and air conditioning supply","35","division","2024",6625
"351 : Electric power generation, transmission and distribution","351","group","2019",5925
"351 : Electric power generation, transmission and distribution","351","group","2020",5905
"351 : Electric power generation, transmission and distribution","351","group","2021",6040
"351 : Electric power generation, transmission and distribution","351","group","2022",6005
"351 : Electric power generation, transmission and distribution","351","group","2023",6035
"351 : Electric power generation, transmission and distribution","351","group","2024",6375
"352 : Manufacture of gas; distribution of gaseous fuels through mains","352","group","2019",170
"352 : Manufacture of gas; distribution of gaseous fuels through mains","352","group","2020",185
"352 : Manufacture of gas; distribution of gaseous fuels through mains","352","group","2021",195
"352 : Manufacture of gas; distribution of gaseous fuels through mains","352","group","2022",200
"352 : Manufacture of gas; distribution of gaseous fuels through mains","352","group","2023",205
"352 : Manufacture of gas; distribution of gaseous fuels through mains","352","group","2024",215
"353 : Steam and air conditioning supply","353","group","2019",25
"353 : Steam and air conditioning supply","353","group","2020",35
"353 : Steam and air conditioning supply","353","group","2021",35
"353 : Steam and air conditioning supply","353","group","2022",30
"353 : Steam and air conditioning supply","353","group","2023",30
"353 : Steam and air conditioning supply","353","group","2024",35
"36 : Water collection, treatment and supply","36","division","2019",115
"36 : Water collection, treatment and supply","36","division","2020",110
"36 : Water collection, treatment and supply","36","division","2021",115
"36 : Water collection, treatment and supply","36","division","2022",100
"36 : Water collection, treatment and supply","36","division","2023",105
"36 : Water collection, treatment and supply","36","division","2024",110
"360 : Water collection, treatment and supply","360","group","2019",115
"360 : Water collection, treatment and supply","360","group","2020",110
"360 : Water collection, treatment and supply","360","group","2021",115
"360 : Water collection, treatment and supply","360","group","2022",100
"360 : Water collection, treatment and supply","360","group","2023",105
"360 : Water collection, treatment and supply","360","group","2024",110
"37 : Sewerage","37","division","2019",1075
"37 : Sewerage","37","division","2020",1125
"37 : Sewerage","37","division","2021",1200
"37 : Sewerage","37","division","2022",1250
"37 : Sewerage","37","division","2023",1270
"37 : Sewerage","37","division","2024",1310
"370 : Sewerage","370","group","2019",1075
"370 : Sewerage","370","group","2020",1125
"370 : Sewerage","370","group","2021",1200
"370 : Sewerage","370","group","2022",1250
"370 : Sewerage","370","group","2023",1270
"370 : Sewerage","370","group","2024",1310
"38 : Waste collection, treatment and disposal activities; materials recovery","38","division","2019",6245
"38 : Waste collection, treatment and disposal activities; materials recovery","38","division","2020",6310
"38 : Waste collection, treatment and disposal activities; materials recovery","38","division","2021",6640
"38 : Waste collection, treatment and disposal activities; materials recovery","38","division","2022",6850
"38 : Waste collection, treatment and disposal activities; materials recovery","38","division","2023",6790
"38 : Waste collection, treatment and disposal activities; materials recovery","38","division","2024",6735
"381 : Waste collection","381","group","2019",3145
"381 : Waste collection","381","group","2020",3230
"381 : Waste collection","381","group","2021",3500
"381 : Waste collection","381","group","2022",3720
"381 : Waste collection","381","group","2023",3735
"381 : Waste collection","381","group","2024",3735
"382 : Waste treatment and disposal","382","group","2019",1295
"382 : Waste treatment and disposal","382","group","2020",1280
"382 : Waste treatment and disposal","382","group","2021",1325
"382 : Waste treatment and disposal","382","group","2022",1335
"382 : Waste treatment and disposal","382","group","2023",1300
"382 : Waste treatment and disposal","382","group","2024",1290
"383 : Materials recovery","383","group","2019",1805
"383 : Materials recovery","383","group","2020",1800
"383 : Materials recovery","383","group","2021",1815
"383 : Materials recovery","383","group","2022",1795
"383 : Materials recovery","383","group","2023",1755
"383 : Materials recovery","383","group","2024",1710
"39 : Remediation activities and other waste management services.","39","division","2019",1175
"39 : Remediation activities and other waste management services.","39","division","2020",1245
"39 : Remediation activities and other waste management services.","39","division","2021",1320
"39 : Remediation activities and other waste management services.","39","division","2022",1380
"39 : Remediation activities and other waste management services.","39","division","2023",1375
"39 : Remediation activities and other waste management services.","39","division","2024",1340
"390 : Remediation activities and other waste management services","390","group","2019",1175
"390 : Remediation activities and other waste management services","390","group","2020",1245
"390 : Remediation activities and other waste management services","390","group","2021",1320
"390 : Remediation activities and other waste management services","390","group","2022",1380
"390 : Remediation activities and other waste management services","390","group","2023",1375
"390 : Remediation activities and other waste management services","390","group","2024",1340
"41 : Construction of buildings","41","division","2019",118130
"41 : Construction of buildings","41","division","2020",121845
"41 : Construction of buildings","41","division","2021",131415
"41 : Construction of buildings","41","division","2022",136820
"41 : Construction of buildings","41","division","2023",137330
"41 : Construction of buildings","41","division","2024",136095
"411 : Development of building projects","411","group","2019",46840
"411 : Development of building projects","411","group","2020",48225
"411 : Development of building projects","411","group","2021",50675
"411 : Development of building projects","411","group","2022",51310
"411 : Development of building projects","411","group","2023",51120
"411 : Development of building projects","411","group","2024",50580
"412 : Construction of residential and non-residential buildings","412","group","2019",71290
"412 : Construction of residential and non-residential buildings","412","group","2020",73620
"412 : Construction of residential and non-residential buildings","412","group","2021",80740
"412 : Construction of residential and non-residential buildings","412","group","2022",85510
"412 : Construction of residential and non-residential buildings","412","group","2023",86210
"412 : Construction of residential and non-residential buildings","412","group","2024",85515
"42 : Civil engineering","42","division","2019",29075
"42 : Civil engineering","42","division","2020",28930
"42 : Civil engineering","42","division","2021",28505
"42 : Civil engineering","42","division","2022",27045
"42 : Civil engineering","42","division","2023",25920
"42 : Civil engineering","42","division","2024",25645
"421 : Construction of roads and railways","421","group","2019",9530
"421 : Construction of roads and railways","421","group","2020",9660
"421 : Construction of roads and railways","421","group","2021",9380
"421 : Construction of roads and railways","421","group","2022",8465
"421 : Construction of roads and railways","421","group","2023",7975
"421 : Construction of roads and railways","421","group","2024",7885
"422 : Construction of utility projects","422","group","2019",1675
"422 : Construction of utility projects","422","group","2020",1835
"422 : Construction of utility projects","422","group","2021",2000
"422 : Construction of utility projects","422","group","2022",2255
"422 : Construction of utility projects","422","group","2023",2530
"422 : Construction of utility projects","422","group","2024",2795
"429 : Construction of other civil engineering projects","429","group","2019",17870
"429 : Construction of other civil engineering projects","429","group","2020",17435
"429 : Construction of other civil engineering projects","429","group","2021",17125
"429 : Construction of other civil engineering projects","429","group","2022",16325
"429 : Construction of other civil engineering projects","429","group","2023",15415
"429 : Construction of other civil engineering projects","429","group","2024",14965
"43 : Specialised construction activities","43","division","2019",243200
"43 : Specialised construction activities","43","division","2020",242175
"43 : Specialised construction activities","43","division","2021",251425
"43 : Specialised construction activities","43","division","2022",256565
"43 : Specialised construction activities","43","division","2023",258910
"43 : Specialised construction activities","43","division","2024",260910
"431 : Demolition and site preparation","431","group","2019",5475
"431 : Demolition and site preparation","431","group","2020",5265
"431 : Demolition and site preparation","431","group","2021",5060
"431 : Demolition and site preparation","431","group","2022",4790
"431 : Demolition and site preparation","431","group","2023",4655
"431 : Demolition and site preparation","431","group","2024",4630
"432 : Electrical, plumbing and other construction installation activities","432","group","2019",104185
"432 : Electrical, plumbing and other construction installation activities","432","group","2020",104675
"432 : Electrical, plumbing and other construction installation activities","432","group","2021",110130
"432 : Electrical, plumbing and other construction installation activities","432","group","2022",113140
"432 : Electrical, plumbing and other construction installation activities","432","group","2023",115130
"432 : Electrical, plumbing and other construction installation activities","432","group","2024",117230
"433 : Building completion and finishing","433","group","2019",92960
"433 : Building completion and finishing","433","group","2020",90955
"433 : Building completion and finishing","433","group","2021",93880
"433 : Building completion and finishing","433","group","2022",95165
"433 : Building completion and finishing","433","group","2023",94390
