"industry_raw","industry_code","industry_level","year","high_growth_enterprises"
"105 : Manufacture of dairy products","105","group","2020",10
"105 : Manufacture of dairy products","105","group","2021",15
"105 : Manufacture of dairy products","105","group","2022",10
"105 : Manufacture of dairy products","105","group","2023",15
"105 : Manufacture of dairy products","105","group","2024",15
"106 : Manufacture of grain mill products, starches and starch products","106","group","2019",5
"106 : Manufacture of grain mill products, starches and starch products","106","group","2020",0
"106 : Manufacture of grain mill products, starches and starch products","106","group","2021",5
"106 : Manufacture of grain mill products, starches and starch products","106","group","2022",0
"106 : Manufacture of grain mill products, starches and starch products","106","group","2023",0
"106 : Manufacture of grain mill products, starches and starch products","106","group","2024",0
"107 : Manufacture of bakery and farinaceous products","107","group","2019",35
"107 : Manufacture of bakery and farinaceous products","107","group","2020",30
"107 : Manufacture of bakery and farinaceous products","107","group","2021",25
"107 : Manufacture of bakery and farinaceous products","107","group","2022",35
"107 : Manufacture of bakery and farinaceous products","107","group","2023",35
"107 : Manufacture of bakery and farinaceous products","107","group","2024",50
"108 : Manufacture of other food products","108","group","2019",50
"108 : Manufacture of other food products","108","group","2020",50
"108 : Manufacture of other food products","108","group","2021",35
"108 : Manufacture of other food products","108","group","2022",35
"108 : Manufacture of other food products","108","group","2023",50
"108 : Manufacture of other food products","108","group","2024",50
"109 : Manufacture of prepared animal feeds","109","group","2019",10
"109 : Manufacture of prepared animal feeds","109","group","2020",10
"109 : Manufacture of prepared animal feeds","109","group","2021",5
"109 : Manufacture of prepared animal feeds","109","group","2022",15
"109 : Manufacture of prepared animal feeds","109","group","2023",15
"109 : Manufacture of prepared animal feeds","109","group","2024",15
"11 : Manufacture of beverages","11","division","2019",35
"11 : Manufacture of beverages","11","division","2020",35
"11 : Manufacture of beverages","11","division","2021",35
"11 : Manufacture of beverages","11","division","2022",40
"11 : Manufacture of beverages","11","division","2023",40
"11 : Manufacture of beverages","11","division","2024",30
"110 : Manufacture of beverages","110","group","2019",35
"110 : Manufacture of beverages","110","group","2020",35
"110 : Manufacture of beverages","110","group","2021",35
"110 : Manufacture of beverages","110","group","2022",40
"110 : Manufacture of beverages","110","group","2023",40
"110 : Manufacture of beverages","110","group","2024",30
"12 : Manufacture of tobacco products","12","division","2019",0
"12 : Manufacture of tobacco products","12","division","2020",0
"12 : Manufacture of tobacco products","12","division","2021",0
"12 : Manufacture of tobacco products","12","division","2022",0
"12 : Manufacture of tobacco products","12","division","2023",0
"12 : Manufacture of tobacco products","12","division","2024",0
"120 : Manufacture of tobacco products","120","group","2019",0
"120 : Manufacture of tobacco products","120","group","2020",0
"120 : Manufacture of tobacco products","120","group","2021",0
"120 : Manufacture of tobacco products","120","group","2022",0
"120 : Manufacture of tobacco products","120","group","2023",0
"120 : Manufacture of tobacco products","120","group","2024",0
"13 : Manufacture of textiles","13","division","2019",25
"13 : Manufacture of textiles","13","division","2020",25
"13 : Manufacture of textiles","13","division","2021",20
"13 : Manufacture of textiles","13","division","2022",15
"13 : Manufacture of textiles","13","division","2023",15
"13 : Manufacture of textiles","13","division","2024",15
"131 : Preparation and spinning of textile fibres","131","group","2019",0
"131 : Preparation and spinning of textile fibres","131","group","2020",0
"131 : Preparation and spinning of textile fibres","131","group","2021",0
"131 : Preparation and spinning of textile fibres","131","group","2022",0
"131 : Preparation and spinning of textile fibres","131","group","2023",0
"131 : Preparation and spinning of textile fibres","131","group","2024",0
"132 : Weaving of textiles","132","group","2019",0
"132 : Weaving of textiles","132","group","2020",0
"132 : Weaving of textiles","132","group","2021",0
"132 : Weaving of textiles","132","group","2022",0
"132 : Weaving of textiles","132","group","2023",0
"132 : Weaving of textiles","132","group","2024",0
"133 : Finishing of textiles","133","group","2019",5
"133 : Finishing of textiles","133","group","2020",10
"133 : Finishing of textiles","133","group","2021",5
"133 : Finishing of textiles","133","group","2022",5
"133 : Finishing of textiles","133","group","2023",10
"133 : Finishing of textiles","133","group","2024",10
"139 : Manufacture of other textiles","139","group","2019",20
"139 : Manufacture of other textiles","139","group","2020",15
"139 : Manufacture of other textiles","139","group","2021",15
"139 : Manufacture of other textiles","139","group","2022",10
"139 : Manufacture of other textiles","139","group","2023",5
"139 : Manufacture of other textiles","139","group","2024",5
"14 : Manufacture of wearing apparel","14","division","2019",15
"14 : Manufacture of wearing apparel","14","division","2020",15
"14 : Manufacture of wearing apparel","14","division","2021",15
"14 : Manufacture of wearing apparel","14","division","2022",15
"14 : Manufacture of wearing apparel","14","division","2023",20
"14 : Manufacture of wearing apparel","14","division","2024",15
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2019",15
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2020",15
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2021",15
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2022",15
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2023",20
"141 : Manufacture of wearing apparel, except fur apparel","141","group","2024",15
"142 : Manufacture of articles of fur","142","group","2019",0
"142 : Manufacture of articles of fur","142","group","2020",0
"142 : Manufacture of articles of fur","142","group","2021",0
"142 : Manufacture of articles of fur","142","group","2022",0
"142 : Manufacture of articles of fur","142","group","2023",0
"142 : Manufacture of articles of fur","142","group","2024",0
"143 : Manufacture of knitted and crocheted apparel","143","group","2019",0
"143 : Manufacture of knitted and crocheted apparel","143","group","2020",0
"143 : Manufacture of knitted and crocheted apparel","143","group","2021",0
"143 : Manufacture of knitted and crocheted apparel","143","group","2022",0
"143 : Manufacture of knitted and crocheted apparel","143","group","2023",0
"143 : Manufacture of knitted and crocheted apparel","143","group","2024",0
"15 : Manufacture of leather and related products","15","division","2019",5
"15 : Manufacture of leather and related products","15","division","2020",5
"15 : Manufacture of leather and related products","15","division","2021",5
"15 : Manufacture of leather and related products","15","division","2022",0
"15 : Manufacture of leather and related products","15","division","2023",5
"15 : Manufacture of leather and related products","15","division","2024",0
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2019",5
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2020",5
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2021",5
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2022",0
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2023",5
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","151","group","2024",0
"152 : Manufacture of footwear","152","group","2019",0
"152 : Manufacture of footwear","152","group","2020",0
"152 : Manufacture of footwear","152","group","2021",0
"152 : Manufacture of footwear","152","group","2022",0
"152 : Manufacture of footwear","152","group","2023",0
"152 : Manufacture of footwear","152","group","2024",0
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2019",45
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2020",50
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2021",35
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2022",35
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2023",40
"16 : Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16","division","2024",40
"161 : Sawmilling and planing of wood","161","group","2019",0
"161 : Sawmilling and planing of wood","161","group","2020",0
"161 : Sawmilling and planing of wood","161","group","2021",0
"161 : Sawmilling and planing of wood","161","group","2022",5
"161 : Sawmilling and planing of wood","161","group","2023",0
"161 : Sawmilling and planing of wood","161","group","2024",5
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2019",45
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2020",50
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2021",35
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2022",30
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2023",40
"162 : Manufacture of products of wood, cork, straw and plaiting materials","162","group","2024",35
"17 : Manufacture of paper and paper products","17","division","2019",25
"17 : Manufacture of paper and paper products","17","division","2020",20
"17 : Manufacture of paper and paper products","17","division","2021",20
"17 : Manufacture of paper and paper products","17","division","2022",20
"17 : Manufacture of paper and paper products","17","division","2023",15
"17 : Manufacture of paper and paper products","17","division","2024",25
"171 : Manufacture of pulp, paper and paperboard","171","group","2019",5
"171 : Manufacture of pulp, paper and paperboard","171","group","2020",5
"171 : Manufacture of pulp, paper and paperboard","171","group","2021",5
"171 : Manufacture of pulp, paper and paperboard","171","group","2022",5
"171 : Manufacture of pulp, paper and paperboard","171","group","2023",0
"171 : Manufacture of pulp, paper and paperboard","171","group","2024",0
"172 : Manufacture of articles of paper and paperboard","172","group","2019",20
"172 : Manufacture of articles of paper and paperboard","172","group","2020",15
"172 : Manufacture of articles of paper and paperboard","172","group","2021",15
"172 : Manufacture of articles of paper and paperboard","172","group","2022",15
"172 : Manufacture of articles of paper and paperboard","172","group","2023",15
"172 : Manufacture of articles of paper and paperboard","172","group","2024",25
"18 : Printing and reproduction of recorded media","18","division","2019",35
"18 : Printing and reproduction of recorded media","18","division","2020",30
"18 : Printing and reproduction of recorded media","18","division","2021",25
"18 : Printing and reproduction of recorded media","18","division","2022",25
"18 : Printing and reproduction of recorded media","18","division","2023",20
"18 : Printing and reproduction of recorded media","18","division","2024",25
"181 : Printing and service activities related to printing","181","group","2019",35
"181 : Printing and service activities related to printing","181","group","2020",30
"181 : Printing and service activities related to printing","181","group","2021",25
"181 : Printing and service activities related to printing","181","group","2022",25
"181 : Printing and service activities related to printing","181","group","2023",20
"181 : Printing and service activities related to printing","181","group","2024",25
"182 : Reproduction of recorded media","182","group","2019",0
"182 : Reproduction of recorded media","182","group","2020",0
"182 : Reproduction of recorded media","182","group","2021",0
"182 : Reproduction of recorded media","182","group","2022",0
"182 : Reproduction of recorded media","182","group","2023",0
"182 : Reproduction of recorded media","182","group","2024",0
"19 : Manufacture of coke and refined petroleum products","19","division","2019",0
"19 : Manufacture of coke and refined petroleum products","19","division","2020",0
"19 : Manufacture of coke and refined petroleum products","19","division","2021",0
"19 : Manufacture of coke and refined petroleum products","19","division","2022",0
"19 : Manufacture of coke and refined petroleum products","19","division","2023",0
"19 : Manufacture of coke and refined petroleum products","19","division","2024",0
"191 : Manufacture of coke oven products","191","group","2019",0
"191 : Manufacture of coke oven products","191","group","2020",0
"191 : Manufacture of coke oven products","191","group","2021",0
"191 : Manufacture of coke oven products","191","group","2022",0
"191 : Manufacture of coke oven products","191","group","2023",0
"191 : Manufacture of coke oven products","191","group","2024",0
"192 : Manufacture of refined petroleum products","192","group","2019",0
"192 : Manufacture of refined petroleum products","192","group","2020",0
"192 : Manufacture of refined petroleum products","192","group","2021",0
"192 : Manufacture of refined petroleum products","192","group","2022",0
"192 : Manufacture of refined petroleum products","192","group","2023",0
"192 : Manufacture of refined petroleum products","192","group","2024",0
"20 : Manufacture of chemicals and chemical products","20","division","2019",40
"20 : Manufacture of chemicals and chemical products","20","division","2020",40
"20 : Manufacture of chemicals and chemical products","20","division","2021",50
"20 : Manufacture of chemicals and chemical products","20","division","2022",40
"20 : Manufacture of chemicals and chemical products","20","division","2023",50
"20 : Manufacture of chemicals and chemical products","20","division","2024",35
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2019",5
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2020",5
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2021",10
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2022",5
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2023",15
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","201","group","2024",10
"202 : Manufacture of pesticides and other agrochemical products","202","group","2019",0
"202 : Manufacture of pesticides and other agrochemical products","202","group","2020",0
"202 : Manufacture of pesticides and other agrochemical products","202","group","2021",0
"202 : Manufacture of pesticides and other agrochemical products","202","group","2022",0
"202 : Manufacture of pesticides and other agrochemical products","202","group","2023",0
"202 : Manufacture of pesticides and other agrochemical products","202","group","2024",0
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2019",10
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2020",5
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2021",5
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2022",5
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2023",5
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","203","group","2024",5
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2019",15
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2020",20
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2021",20
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2022",20
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2023",15
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","204","group","2024",10
"205 : Manufacture of other chemical products","205","group","2019",10
"205 : Manufacture of other chemical products","205","group","2020",10
"205 : Manufacture of other chemical products","205","group","2021",15
"205 : Manufacture of other chemical products","205","group","2022",10
"205 : Manufacture of other chemical products","205","group","2023",15
"205 : Manufacture of other chemical products","205","group","2024",10
"206 : Manufacture of man-made fibres","206","group","2019",0
"206 : Manufacture of man-made fibres","206","group","2020",0
"206 : Manufacture of man-made fibres","206","group","2021",0
"206 : Manufacture of man-made fibres","206","group","2022",0
"206 : Manufacture of man-made fibres","206","group","2023",0
"206 : Manufacture of man-made fibres","206","group","2024",0
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2019",15
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2020",10
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2021",15
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2022",10
"21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations","21","division","2023",15
