"industry_raw","industry_code","industry_level","year","deaths_of_new_enterprises"
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2020",20
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2021",30
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2022",30
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2023",45
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2024",25
"245 : Casting of metals","245","group","2019",20
"245 : Casting of metals","245","group","2020",20
"245 : Casting of metals","245","group","2021",15
"245 : Casting of metals","245","group","2022",10
"245 : Casting of metals","245","group","2023",30
"245 : Casting of metals","245","group","2024",30
"25 : Manufacture of fabricated metal products, except machinery and equipment","25","division","2019",2945
"25 : Manufacture of fabricated metal products, except machinery and equipment","25","division","2020",2190
"25 : Manufacture of fabricated metal products, except machinery and equipment","25","division","2021",2710
"25 : Manufacture of fabricated metal products, except machinery and equipment","25","division","2022",2935
"25 : Manufacture of fabricated metal products, except machinery and equipment","25","division","2023",1845
"25 : Manufacture of fabricated metal products, except machinery and equipment","25","division","2024",1565
"251 : Manufacture of structural metal products","251","group","2019",355
"251 : Manufacture of structural metal products","251","group","2020",310
"251 : Manufacture of structural metal products","251","group","2021",330
"251 : Manufacture of structural metal products","251","group","2022",375
"251 : Manufacture of structural metal products","251","group","2023",380
"251 : Manufacture of structural metal products","251","group","2024",375
"252 : Manufacture of tanks, reservoirs and containers of metal","252","group","2019",25
"252 : Manufacture of tanks, reservoirs and containers of metal","252","group","2020",15
"252 : Manufacture of tanks, reservoirs and containers of metal","252","group","2021",15
"252 : Manufacture of tanks, reservoirs and containers of metal","252","group","2022",20
"252 : Manufacture of tanks, reservoirs and containers of metal","252","group","2023",20
"252 : Manufacture of tanks, reservoirs and containers of metal","252","group","2024",15
"253 : Manufacture of steam generators, except central heating hot water boilers","253","group","2019",5
"253 : Manufacture of steam generators, except central heating hot water boilers","253","group","2020",5
"253 : Manufacture of steam generators, except central heating hot water boilers","253","group","2021",10
"253 : Manufacture of steam generators, except central heating hot water boilers","253","group","2022",5
"253 : Manufacture of steam generators, except central heating hot water boilers","253","group","2023",10
"253 : Manufacture of steam generators, except central heating hot water boilers","253","group","2024",10
"254 : Manufacture of weapons and ammunition","254","group","2019",10
"254 : Manufacture of weapons and ammunition","254","group","2020",0
"254 : Manufacture of weapons and ammunition","254","group","2021",10
"254 : Manufacture of weapons and ammunition","254","group","2022",5
"254 : Manufacture of weapons and ammunition","254","group","2023",5
"254 : Manufacture of weapons and ammunition","254","group","2024",5
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","255","group","2019",35
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","255","group","2020",20
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","255","group","2021",15
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","255","group","2022",20
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","255","group","2023",20
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","255","group","2024",30
"256 : Treatment and coating of metals; machining","256","group","2019",2120
"256 : Treatment and coating of metals; machining","256","group","2020",1505
"256 : Treatment and coating of metals; machining","256","group","2021",2000
"256 : Treatment and coating of metals; machining","256","group","2022",2045
"256 : Treatment and coating of metals; machining","256","group","2023",1010
"256 : Treatment and coating of metals; machining","256","group","2024",770
"257 : Manufacture of cutlery, tools and general hardware","257","group","2019",135
"257 : Manufacture of cutlery, tools and general hardware","257","group","2020",85
"257 : Manufacture of cutlery, tools and general hardware","257","group","2021",75
"257 : Manufacture of cutlery, tools and general hardware","257","group","2022",155
"257 : Manufacture of cutlery, tools and general hardware","257","group","2023",135
"257 : Manufacture of cutlery, tools and general hardware","257","group","2024",105
"259 : Manufacture of other fabricated metal products","259","group","2019",260
"259 : Manufacture of other fabricated metal products","259","group","2020",250
"259 : Manufacture of other fabricated metal products","259","group","2021",255
"259 : Manufacture of other fabricated metal products","259","group","2022",310
"259 : Manufacture of other fabricated metal products","259","group","2023",265
"259 : Manufacture of other fabricated metal products","259","group","2024",255
"26 : Manufacture of computer, electronic and optical products","26","division","2019",540
"26 : Manufacture of computer, electronic and optical products","26","division","2020",475
"26 : Manufacture of computer, electronic and optical products","26","division","2021",475
"26 : Manufacture of computer, electronic and optical products","26","division","2022",575
"26 : Manufacture of computer, electronic and optical products","26","division","2023",500
"26 : Manufacture of computer, electronic and optical products","26","division","2024",405
"261 : Manufacture of electronic components and boards","261","group","2019",65
"261 : Manufacture of electronic components and boards","261","group","2020",60
"261 : Manufacture of electronic components and boards","261","group","2021",60
"261 : Manufacture of electronic components and boards","261","group","2022",70
"261 : Manufacture of electronic components and boards","261","group","2023",65
"261 : Manufacture of electronic components and boards","261","group","2024",70
"262 : Manufacture of computers and peripheral equipment","262","group","2019",110
"262 : Manufacture of computers and peripheral equipment","262","group","2020",85
"262 : Manufacture of computers and peripheral equipment","262","group","2021",100
"262 : Manufacture of computers and peripheral equipment","262","group","2022",115
"262 : Manufacture of computers and peripheral equipment","262","group","2023",115
"262 : Manufacture of computers and peripheral equipment","262","group","2024",70
"263 : Manufacture of communication equipment","263","group","2019",140
"263 : Manufacture of communication equipment","263","group","2020",135
"263 : Manufacture of communication equipment","263","group","2021",130
"263 : Manufacture of communication equipment","263","group","2022",125
"263 : Manufacture of communication equipment","263","group","2023",90
"263 : Manufacture of communication equipment","263","group","2024",65
"264 : Manufacture of consumer electronics","264","group","2019",50
"264 : Manufacture of consumer electronics","264","group","2020",35
"264 : Manufacture of consumer electronics","264","group","2021",30
"264 : Manufacture of consumer electronics","264","group","2022",65
"264 : Manufacture of consumer electronics","264","group","2023",50
"264 : Manufacture of consumer electronics","264","group","2024",55
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","265","group","2019",135
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","265","group","2020",125
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","265","group","2021",120
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","265","group","2022",160
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","265","group","2023",140
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","265","group","2024",95
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","group","2019",5
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","group","2020",10
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","group","2021",10
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","group","2022",10
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","group","2023",10
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","group","2024",10
"267 : Manufacture of optical instruments and photographic equipment","267","group","2019",30
"267 : Manufacture of optical instruments and photographic equipment","267","group","2020",20
"267 : Manufacture of optical instruments and photographic equipment","267","group","2021",20
"267 : Manufacture of optical instruments and photographic equipment","267","group","2022",25
"267 : Manufacture of optical instruments and photographic equipment","267","group","2023",25
"267 : Manufacture of optical instruments and photographic equipment","267","group","2024",35
"268 : Manufacture of magnetic and optical media","268","group","2019",5
"268 : Manufacture of magnetic and optical media","268","group","2020",5
"268 : Manufacture of magnetic and optical media","268","group","2021",5
"268 : Manufacture of magnetic and optical media","268","group","2022",5
"268 : Manufacture of magnetic and optical media","268","group","2023",5
"268 : Manufacture of magnetic and optical media","268","group","2024",5
"27 : Manufacture of electrical equipment","27","division","2019",210
"27 : Manufacture of electrical equipment","27","division","2020",200
"27 : Manufacture of electrical equipment","27","division","2021",240
"27 : Manufacture of electrical equipment","27","division","2022",275
"27 : Manufacture of electrical equipment","27","division","2023",305
"27 : Manufacture of electrical equipment","27","division","2024",205
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","group","2019",40
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","group","2020",30
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","group","2021",45
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","group","2022",55
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","group","2023",50
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","group","2024",35
"272 : Manufacture of batteries and accumulators","272","group","2019",5
"272 : Manufacture of batteries and accumulators","272","group","2020",5
"272 : Manufacture of batteries and accumulators","272","group","2021",5
"272 : Manufacture of batteries and accumulators","272","group","2022",5
"272 : Manufacture of batteries and accumulators","272","group","2023",5
"272 : Manufacture of batteries and accumulators","272","group","2024",15
"273 : Manufacture of wiring and wiring devices","273","group","2019",30
"273 : Manufacture of wiring and wiring devices","273","group","2020",20
"273 : Manufacture of wiring and wiring devices","273","group","2021",35
"273 : Manufacture of wiring and wiring devices","273","group","2022",45
"273 : Manufacture of wiring and wiring devices","273","group","2023",40
"273 : Manufacture of wiring and wiring devices","273","group","2024",20
"274 : Manufacture of electric lighting equipment","274","group","2019",60
"274 : Manufacture of electric lighting equipment","274","group","2020",60
"274 : Manufacture of electric lighting equipment","274","group","2021",55
"274 : Manufacture of electric lighting equipment","274","group","2022",70
"274 : Manufacture of electric lighting equipment","274","group","2023",75
"274 : Manufacture of electric lighting equipment","274","group","2024",55
"275 : Manufacture of domestic appliances","275","group","2019",20
"275 : Manufacture of domestic appliances","275","group","2020",30
"275 : Manufacture of domestic appliances","275","group","2021",35
"275 : Manufacture of domestic appliances","275","group","2022",40
"275 : Manufacture of domestic appliances","275","group","2023",65
"275 : Manufacture of domestic appliances","275","group","2024",25
"279 : Manufacture of other electrical equipment","279","group","2019",55
"279 : Manufacture of other electrical equipment","279","group","2020",55
"279 : Manufacture of other electrical equipment","279","group","2021",65
"279 : Manufacture of other electrical equipment","279","group","2022",60
"279 : Manufacture of other electrical equipment","279","group","2023",70
"279 : Manufacture of other electrical equipment","279","group","2024",55
"28 : Manufacture of machinery and equipment n.e.c.","28","division","2019",555
"28 : Manufacture of machinery and equipment n.e.c.","28","division","2020",505
"28 : Manufacture of machinery and equipment n.e.c.","28","division","2021",525
"28 : Manufacture of machinery and equipment n.e.c.","28","division","2022",670
"28 : Manufacture of machinery and equipment n.e.c.","28","division","2023",615
"28 : Manufacture of machinery and equipment n.e.c.","28","division","2024",465
"281 : Manufacture of general-purpose machinery","281","group","2019",50
"281 : Manufacture of general-purpose machinery","281","group","2020",55
"281 : Manufacture of general-purpose machinery","281","group","2021",70
"281 : Manufacture of general-purpose machinery","281","group","2022",85
"281 : Manufacture of general-purpose machinery","281","group","2023",60
"281 : Manufacture of general-purpose machinery","281","group","2024",70
"282 : Manufacture of other general-purpose machinery","282","group","2019",245
"282 : Manufacture of other general-purpose machinery","282","group","2020",185
"282 : Manufacture of other general-purpose machinery","282","group","2021",165
"282 : Manufacture of other general-purpose machinery","282","group","2022",265
"282 : Manufacture of other general-purpose machinery","282","group","2023",205
"282 : Manufacture of other general-purpose machinery","282","group","2024",165
"283 : Manufacture of agricultural and forestry machinery","283","group","2019",50
"283 : Manufacture of agricultural and forestry machinery","283","group","2020",65
"283 : Manufacture of agricultural and forestry machinery","283","group","2021",75
"283 : Manufacture of agricultural and forestry machinery","283","group","2022",65
"283 : Manufacture of agricultural and forestry machinery","283","group","2023",75
"283 : Manufacture of agricultural and forestry machinery","283","group","2024",65
"284 : Manufacture of metal forming machinery and machine tools","284","group","2019",65
"284 : Manufacture of metal forming machinery and machine tools","284","group","2020",65
"284 : Manufacture of metal forming machinery and machine tools","284","group","2021",70
"284 : Manufacture of metal forming machinery and machine tools","284","group","2022",65
"284 : Manufacture of metal forming machinery and machine tools","284","group","2023",40
"284 : Manufacture of metal forming machinery and machine tools","284","group","2024",45
"289 : Manufacture of other special-purpose machinery","289","group","2019",145
"289 : Manufacture of other special-purpose machinery","289","group","2020",135
"289 : Manufacture of other special-purpose machinery","289","group","2021",145
"289 : Manufacture of other special-purpose machinery","289","group","2022",190
"289 : Manufacture of other special-purpose machinery","289","group","2023",235
"289 : Manufacture of other special-purpose machinery","289","group","2024",120
"29 : Manufacture of motor vehicles, trailers and semi-trailers","29","division","2019",365
"29 : Manufacture of motor vehicles, trailers and semi-trailers","29","division","2020",425
"29 : Manufacture of motor vehicles, trailers and semi-trailers","29","division","2021",440
"29 : Manufacture of motor vehicles, trailers and semi-trailers","29","division","2022",480
"29 : Manufacture of motor vehicles, trailers and semi-trailers","29","division","2023",390
"29 : Manufacture of motor vehicles, trailers and semi-trailers","29","division","2024",300
"291 : Manufacture of motor vehicles","291","group","2019",140
"291 : Manufacture of motor vehicles","291","group","2020",135
"291 : Manufacture of motor vehicles","291","group","2021",135
"291 : Manufacture of motor vehicles","291","group","2022",185
"291 : Manufacture of motor vehicles","291","group","2023",130
"291 : Manufacture of motor vehicles","291","group","2024",100
"292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","group","2019",90
"292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","group","2020",95
"292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","group","2021",115
"292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","group","2022",115
"292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","group","2023",115
"292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","group","2024",95
"293 : Manufacture of parts and accessories for motor vehicles","293","group","2019",135
"293 : Manufacture of parts and accessories for motor vehicles","293","group","2020",195
"293 : Manufacture of parts and accessories for motor vehicles","293","group","2021",190
"293 : Manufacture of parts and accessories for motor vehicles","293","group","2022",180
"293 : Manufacture of parts and accessories for motor vehicles","293","group","2023",145
"293 : Manufacture of parts and accessories for motor vehicles","293","group","2024",105
"30 : Manufacture of other transport equipment","30","division","2019",295
"30 : Manufacture of other transport equipment","30","division","2020",290
"30 : Manufacture of other transport equipment","30","division","2021",395
"30 : Manufacture of other transport equipment","30","division","2022",410
"30 : Manufacture of other transport equipment","30","division","2023",265
"30 : Manufacture of other transport equipment","30","division","2024",180
"301 : Building of ships and boats","301","group","2019",90
"301 : Building of ships and boats","301","group","2020",90
"301 : Building of ships and boats","301","group","2021",105
"301 : Building of ships and boats","301","group","2022",135
"301 : Building of ships and boats","301","group","2023",135
"301 : Building of ships and boats","301","group","2024",80
"302 : Manufacture of railway locomotives and rolling stock","302","group","2019",30
"302 : Manufacture of railway locomotives and rolling stock","302","group","2020",40
"302 : Manufacture of railway locomotives and rolling stock","302","group","2021",80
"302 : Manufacture of railway locomotives and rolling stock","302","group","2022",60
"302 : Manufacture of railway locomotives and rolling stock","302","group","2023",20
"302 : Manufacture of railway locomotives and rolling stock","302","group","2024",10
"303 : Manufacture of air and spacecraft and related machinery","303","group","2019",125
"303 : Manufacture of air and spacecraft and related machinery","303","group","2020",115
"303 : Manufacture of air and spacecraft and related machinery","303","group","2021",170
"303 : Manufacture of air and spacecraft and related machinery","303","group","2022",160
"303 : Manufacture of air and spacecraft and related machinery","303","group","2023",65
"303 : Manufacture of air and spacecraft and related machinery","303","group","2024",45
"304 : Manufacture of military fighting vehicles","304","group","2019",5
"304 : Manufacture of military fighting vehicles","304","group","2020",5
"304 : Manufacture of military fighting vehicles","304","group","2021",5
"304 : Manufacture of military fighting vehicles","304","group","2022",0
"304 : Manufacture of military fighting vehicles","304","group","2023",0
"304 : Manufacture of military fighting vehicles","304","group","2024",0
"309 : Manufacture of transport equipment n.e.c.","309","group","2019",45
"309 : Manufacture of transport equipment n.e.c.","309","group","2020",40
"309 : Manufacture of transport equipment n.e.c.","309","group","2021",35
"309 : Manufacture of transport equipment n.e.c.","309","group","2022",55
"309 : Manufacture of transport equipment n.e.c.","309","group","2023",45
"309 : Manufacture of transport equipment n.e.c.","309","group","2024",45
"31 : Manufacture of furniture","31","division","2019",580
"31 : Manufacture of furniture","31","division","2020",475
"31 : Manufacture of furniture","31","division","2021",465
"31 : Manufacture of furniture","31","division","2022",640
"31 : Manufacture of furniture","31","division","2023",745
"31 : Manufacture of furniture","31","division","2024",590
"310 : Manufacture of furniture","310","group","2019",580
"310 : Manufacture of furniture","310","group","2020",475
"310 : Manufacture of furniture","310","group","2021",465
"310 : Manufacture of furniture","310","group","2022",640
"310 : Manufacture of furniture","310","group","2023",745
"310 : Manufacture of furniture","310","group","2024",590
"32 : Other manufacturing","32","division","2019",1010
"32 : Other manufacturing","32","division","2020",980
"32 : Other manufacturing","32","division","2021",1720
"32 : Other manufacturing","32","division","2022",1100
"32 : Other manufacturing","32","division","2023",1225
"32 : Other manufacturing","32","division","2024",1055
"321 : Manufacture of jewellery, bijouterie and related articles","321","group","2019",135
"321 : Manufacture of jewellery, bijouterie and related articles","321","group","2020",110
"321 : Manufacture of jewellery, bijouterie and related articles","321","group","2021",120
"321 : Manufacture of jewellery, bijouterie and related articles","321","group","2022",145
"321 : Manufacture of jewellery, bijouterie and related articles","321","group","2023",145
"321 : Manufacture of jewellery, bijouterie and related articles","321","group","2024",140
"322 : Manufacture of musical instruments","322","group","2019",25
"322 : Manufacture of musical instruments","322","group","2020",25
"322 : Manufacture of musical instruments","322","group","2021",15
"322 : Manufacture of musical instruments","322","group","2022",25
"322 : Manufacture of musical instruments","322","group","2023",20
"322 : Manufacture of musical instruments","322","group","2024",25
"323 : Manufacture of sports goods","323","group","2019",100
"323 : Manufacture of sports goods","323","group","2020",75
"323 : Manufacture of sports goods","323","group","2021",95
"323 : Manufacture of sports goods","323","group","2022",130
"323 : Manufacture of sports goods","323","group","2023",80
"323 : Manufacture of sports goods","323","group","2024",90
"324 : Manufacture of games and toys","324","group","2019",90
"324 : Manufacture of games and toys","324","group","2020",65
"324 : Manufacture of games and toys","324","group","2021",80
"324 : Manufacture of games and toys","324","group","2022",110
"324 : Manufacture of games and toys","324","group","2023",135
"324 : Manufacture of games and toys","324","group","2024",105
"325 : Manufacture of medical and dental instruments and supplies","325","group","2019",135
"325 : Manufacture of medical and dental instruments and supplies","325","group","2020",95
"325 : Manufacture of medical and dental instruments and supplies","325","group","2021",135
"325 : Manufacture of medical and dental instruments and supplies","325","group","2022",185
"325 : Manufacture of medical and dental instruments and supplies","325","group","2023",135
"325 : Manufacture of medical and dental instruments and supplies","325","group","2024",115
"329 : Other manufacturing n.e.c.","329","group","2019",525
"329 : Other manufacturing n.e.c.","329","group","2020",610
"329 : Other manufacturing n.e.c.","329","group","2021",1275
"329 : Other manufacturing n.e.c.","329","group","2022",505
"329 : Other manufacturing n.e.c.","329","group","2023",710
"329 : Other manufacturing n.e.c.","329","group","2024",580
"33 : Repair and installation of machinery and equipment","33","division","2019",1480
"33 : Repair and installation of machinery and equipment","33","division","2020",1630
"33 : Repair and installation of machinery and equipment","33","division","2021",2180
"33 : Repair and installation of machinery and equipment","33","division","2022",1845
"33 : Repair and installation of machinery and equipment","33","division","2023",1280
"33 : Repair and installation of machinery and equipment","33","division","2024",1050
"331 : Repair of fabricated metal products, machinery and equipment","331","group","2019",1265
"331 : Repair of fabricated metal products, machinery and equipment","331","group","2020",1450
"331 : Repair of fabricated metal products, machinery and equipment","331","group","2021",1995
"331 : Repair of fabricated metal products, machinery and equipment","331","group","2022",1640
"331 : Repair of fabricated metal products, machinery and equipment","331","group","2023",1135
"331 : Repair of fabricated metal products, machinery and equipment","331","group","2024",925
"332 : Installation of industrial machinery and equipment","332","group","2019",215
"332 : Installation of industrial machinery and equipment","332","group","2020",180
"332 : Installation of industrial machinery and equipment","332","group","2021",185
"332 : Installation of industrial machinery and equipment","332","group","2022",205
"332 : Installation of industrial machinery and equipment","332","group","2023",145
"332 : Installation of industrial machinery and equipment","332","group","2024",125
"35 : Electricity, gas, steam and air conditioning supply","35","division","2019",360
"35 : Electricity, gas, steam and air conditioning supply","35","division","2020",270
"35 : Electricity, gas, steam and air conditioning supply","35","division","2021",255
"35 : Electricity, gas, steam and air conditioning supply","35","division","2022",345
"35 : Electricity, gas, steam and air conditioning supply","35","division","2023",330
"35 : Electricity, gas, steam and air conditioning supply","35","division","2024",375
"351 : Electric power generation, transmission and distribution","351","group","2019",340
"351 : Electric power generation, transmission and distribution","351","group","2020",255
"351 : Electric power generation, transmission and distribution","351","group","2021",240
"351 : Electric power generation, transmission and distribution","351","group","2022",330
"351 : Electric power generation, transmission and distribution","351","group","2023",310
"351 : Electric power generation, transmission and distribution","351","group","2024",355
"352 : Manufacture of gas; distribution of gaseous fuels through mains","352","group","2019",20
"352 : Manufacture of gas; distribution of gaseous fuels through mains","352","group","2020",10
"352 : Manufacture of gas; distribution of gaseous fuels through mains","352","group","2021",15
"352 : Manufacture of gas; distribution of gaseous fuels through mains","352","group","2022",15
"352 : Manufacture of gas; distribution of gaseous fuels through mains","352","group","2023",20
"352 : Manufacture of gas; distribution of gaseous fuels through mains","352","group","2024",20
"353 : Steam and air conditioning supply","353","group","2019",0
"353 : Steam and air conditioning supply","353","group","2020",5
"353 : Steam and air conditioning supply","353","group","2021",0
"353 : Steam and air conditioning supply","353","group","2022",0
"353 : Steam and air conditioning supply","353","group","2023",0
"353 : Steam and air conditioning supply","353","group","2024",0
"36 : Water collection, treatment and supply","36","division","2019",5
"36 : Water collection, treatment and supply","36","division","2020",5
"36 : Water collection, treatment and supply","36","division","2021",10
"36 : Water collection, treatment and supply","36","division","2022",5
"36 : Water collection, treatment and supply","36","division","2023",5
"36 : Water collection, treatment and supply","36","division","2024",0
"360 : Water collection, treatment and supply","360","group","2019",5
"360 : Water collection, treatment and supply","360","group","2020",5
"360 : Water collection, treatment and supply","360","group","2021",10
"360 : Water collection, treatment and supply","360","group","2022",5
"360 : Water collection, treatment and supply","360","group","2023",5
"360 : Water collection, treatment and supply","360","group","2024",0
"37 : Sewerage","37","division","2019",70
"37 : Sewerage","37","division","2020",65
"37 : Sewerage","37","division","2021",65
"37 : Sewerage","37","division","2022",100
"37 : Sewerage","37","division","2023",100
"37 : Sewerage","37","division","2024",95
"370 : Sewerage","370","group","2019",70
"370 : Sewerage","370","group","2020",65
"370 : Sewerage","370","group","2021",65
"370 : Sewerage","370","group","2022",100
"370 : Sewerage","370","group","2023",100
"370 : Sewerage","370","group","2024",95
"38 : Waste collection, treatment and disposal activities; materials recovery","38","division","2019",540
"38 : Waste collection, treatment and disposal activities; materials recovery","38","division","2020",485
"38 : Waste collection, treatment and disposal activities; materials recovery","38","division","2021",490
"38 : Waste collection, treatment and disposal activities; materials recovery","38","division","2022",630
"38 : Waste collection, treatment and disposal activities; materials recovery","38","division","2023",645
"38 : Waste collection, treatment and disposal activities; materials recovery","38","division","2024",570
"381 : Waste collection","381","group","2019",290
"381 : Waste collection","381","group","2020",260
"381 : Waste collection","381","group","2021",260
"381 : Waste collection","381","group","2022",385
"381 : Waste collection","381","group","2023",400
"381 : Waste collection","381","group","2024",330
"382 : Waste treatment and disposal","382","group","2019",115
"382 : Waste treatment and disposal","382","group","2020",105
"382 : Waste treatment and disposal","382","group","2021",100
"382 : Waste treatment and disposal","382","group","2022",115
"382 : Waste treatment and disposal","382","group","2023",110
"382 : Waste treatment and disposal","382","group","2024",110
"383 : Materials recovery","383","group","2019",135
"383 : Materials recovery","383","group","2020",120
"383 : Materials recovery","383","group","2021",130
"383 : Materials recovery","383","group","2022",130
"383 : Materials recovery","383","group","2023",135
"383 : Materials recovery","383","group","2024",130
"39 : Remediation activities and other waste management services.","39","division","2019",125
"39 : Remediation activities and other waste management services.","39","division","2020",80
"39 : Remediation activities and other waste management services.","39","division","2021",135
"39 : Remediation activities and other waste management services.","39","division","2022",125
"39 : Remediation activities and other waste management services.","39","division","2023",145
"39 : Remediation activities and other waste management services.","39","division","2024",100
"390 : Remediation activities and other waste management services","390","group","2019",125
"390 : Remediation activities and other waste management services","390","group","2020",80
"390 : Remediation activities and other waste management services","390","group","2021",135
"390 : Remediation activities and other waste management services","390","group","2022",125
"390 : Remediation activities and other waste management services","390","group","2023",145
"390 : Remediation activities and other waste management services","390","group","2024",100
"41 : Construction of buildings","41","division","2019",11995
"41 : Construction of buildings","41","division","2020",10395
"41 : Construction of buildings","41","division","2021",10810
"41 : Construction of buildings","41","division","2022",14950
"41 : Construction of buildings","41","division","2023",15870
"41 : Construction of buildings","41","division","2024",13880
"411 : Development of building projects","411","group","2019",4400
"411 : Development of building projects","411","group","2020",4175
"411 : Development of building projects","411","group","2021",4205
"411 : Development of building projects","411","group","2022",5055
"411 : Development of building projects","411","group","2023",5130
"411 : Development of building projects","411","group","2024",4975
"412 : Construction of residential and non-residential buildings","412","group","2019",7595
"412 : Construction of residential and non-residential buildings","412","group","2020",6220
"412 : Construction of residential and non-residential buildings","412","group","2021",6605
"412 : Construction of residential and non-residential buildings","412","group","2022",9895
"412 : Construction of residential and non-residential buildings","412","group","2023",10740
"412 : Construction of residential and non-residential buildings","412","group","2024",8905
"42 : Civil engineering","42","division","2019",3190
"42 : Civil engineering","42","division","2020",3150
"42 : Civil engineering","42","division","2021",4225
"42 : Civil engineering","42","division","2022",3925
"42 : Civil engineering","42","division","2023",2915
"42 : Civil engineering","42","division","2024",2580
"421 : Construction of roads and railways","421","group","2019",1350
"421 : Construction of roads and railways","421","group","2020",1510
"421 : Construction of roads and railways","421","group","2021",2130
"421 : Construction of roads and railways","421","group","2022",1750
"421 : Construction of roads and railways","421","group","2023",1245
"421 : Construction of roads and railways","421","group","2024",1085
"422 : Construction of utility projects","422","group","2019",180
"422 : Construction of utility projects","422","group","2020",185
"422 : Construction of utility projects","422","group","2021",255
"422 : Construction of utility projects","422","group","2022",255
"422 : Construction of utility projects","422","group","2023",290
"422 : Construction of utility projects","422","group","2024",290
"429 : Construction of other civil engineering projects","429","group","2019",1660
"429 : Construction of other civil engineering projects","429","group","2020",1455
"429 : Construction of other civil engineering projects","429","group","2021",1840
"429 : Construction of other civil engineering projects","429","group","2022",1920
"429 : Construction of other civil engineering projects","429","group","2023",1380
"429 : Construction of other civil engineering projects","429","group","2024",1205
"43 : Specialised construction activities","43","division","2019",23760
"43 : Specialised construction activities","43","division","2020",20190
"43 : Specialised construction activities","43","division","2021",21205
"43 : Specialised construction activities","43","division","2022",23760
"43 : Specialised construction activities","43","division","2023",23750
"43 : Specialised construction activities","43","division","2024",20625
"431 : Demolition and site preparation","431","group","2019",815
"431 : Demolition and site preparation","431","group","2020",725
"431 : Demolition and site preparation","431","group","2021",665
"431 : Demolition and site preparation","431","group","2022",535
"431 : Demolition and site preparation","431","group","2023",455
"431 : Demolition and site preparation","431","group","2024",415
"432 : Electrical, plumbing and other construction installation activities","432","group","2019",9055
"432 : Electrical, plumbing and other construction installation activities","432","group","2020",7460
"432 : Electrical, plumbing and other construction installation activities","432","group","2021",7790
"432 : Electrical, plumbing and other construction installation activities","432","group","2022",9835
"432 : Electrical, plumbing and other construction installation activities","432","group","2023",9275
"432 : Electrical, plumbing and other construction installation activities","432","group","2024",8560
"433 : Building completion and finishing","433","group","2019",10175
"433 : Building completion and finishing","433","group","2020",8290
"433 : Building completion and finishing","433","group","2021",8785
"433 : Building completion and finishing","433","group","2022",8995
"433 : Building completion and finishing","433","group","2023",9905
"433 : Building completion and finishing","433","group","2024",7815
"439 : Other specialised construction activities","439","group","2019",3715
"439 : Other specialised construction activities","439","group","2020",3715
"439 : Other specialised construction activities","439","group","2021",3965
"439 : Other specialised construction activities","439","group","2022",4395
"439 : Other specialised construction activities","439","group","2023",4115
"439 : Other specialised construction activities","439","group","2024",3835
"45 : Wholesale and retail trade and repair of motor vehicles and motorcycles","45","division","2019",8295
"45 : Wholesale and retail trade and repair of motor vehicles and motorcycles","45","division","2020",5955
