"industry_raw","industry_code","industry_level","year","births_of_new_enterprises"
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2021",35
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2022",45
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2023",20
"244 : Manufacture of basic precious and other non-ferrous metals","244","group","2024",35
"245 : Casting of metals","245","group","2019",20
"245 : Casting of metals","245","group","2020",20
"245 : Casting of metals","245","group","2021",15
"245 : Casting of metals","245","group","2022",25
"245 : Casting of metals","245","group","2023",15
"245 : Casting of metals","245","group","2024",15
"25 : Manufacture of fabricated metal products, except machinery and equipment","25","division","2019",1410
"25 : Manufacture of fabricated metal products, except machinery and equipment","25","division","2020",1250
"25 : Manufacture of fabricated metal products, except machinery and equipment","25","division","2021",1475
"25 : Manufacture of fabricated metal products, except machinery and equipment","25","division","2022",1320
"25 : Manufacture of fabricated metal products, except machinery and equipment","25","division","2023",1035
"25 : Manufacture of fabricated metal products, except machinery and equipment","25","division","2024",975
"251 : Manufacture of structural metal products","251","group","2019",405
"251 : Manufacture of structural metal products","251","group","2020",370
"251 : Manufacture of structural metal products","251","group","2021",415
"251 : Manufacture of structural metal products","251","group","2022",450
"251 : Manufacture of structural metal products","251","group","2023",310
"251 : Manufacture of structural metal products","251","group","2024",325
"252 : Manufacture of tanks, reservoirs and containers of metal","252","group","2019",15
"252 : Manufacture of tanks, reservoirs and containers of metal","252","group","2020",25
"252 : Manufacture of tanks, reservoirs and containers of metal","252","group","2021",20
"252 : Manufacture of tanks, reservoirs and containers of metal","252","group","2022",25
"252 : Manufacture of tanks, reservoirs and containers of metal","252","group","2023",25
"252 : Manufacture of tanks, reservoirs and containers of metal","252","group","2024",25
"253 : Manufacture of steam generators, except central heating hot water boilers","253","group","2019",0
"253 : Manufacture of steam generators, except central heating hot water boilers","253","group","2020",5
"253 : Manufacture of steam generators, except central heating hot water boilers","253","group","2021",5
"253 : Manufacture of steam generators, except central heating hot water boilers","253","group","2022",15
"253 : Manufacture of steam generators, except central heating hot water boilers","253","group","2023",5
"253 : Manufacture of steam generators, except central heating hot water boilers","253","group","2024",5
"254 : Manufacture of weapons and ammunition","254","group","2019",10
"254 : Manufacture of weapons and ammunition","254","group","2020",5
"254 : Manufacture of weapons and ammunition","254","group","2021",5
"254 : Manufacture of weapons and ammunition","254","group","2022",5
"254 : Manufacture of weapons and ammunition","254","group","2023",0
"254 : Manufacture of weapons and ammunition","254","group","2024",5
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","255","group","2019",30
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","255","group","2020",20
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","255","group","2021",10
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","255","group","2022",15
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","255","group","2023",10
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","255","group","2024",20
"256 : Treatment and coating of metals; machining","256","group","2019",625
"256 : Treatment and coating of metals; machining","256","group","2020",475
"256 : Treatment and coating of metals; machining","256","group","2021",640
"256 : Treatment and coating of metals; machining","256","group","2022",400
"256 : Treatment and coating of metals; machining","256","group","2023",330
"256 : Treatment and coating of metals; machining","256","group","2024",295
"257 : Manufacture of cutlery, tools and general hardware","257","group","2019",90
"257 : Manufacture of cutlery, tools and general hardware","257","group","2020",85
"257 : Manufacture of cutlery, tools and general hardware","257","group","2021",135
"257 : Manufacture of cutlery, tools and general hardware","257","group","2022",130
"257 : Manufacture of cutlery, tools and general hardware","257","group","2023",60
"257 : Manufacture of cutlery, tools and general hardware","257","group","2024",55
"259 : Manufacture of other fabricated metal products","259","group","2019",235
"259 : Manufacture of other fabricated metal products","259","group","2020",265
"259 : Manufacture of other fabricated metal products","259","group","2021",245
"259 : Manufacture of other fabricated metal products","259","group","2022",280
"259 : Manufacture of other fabricated metal products","259","group","2023",295
"259 : Manufacture of other fabricated metal products","259","group","2024",245
"26 : Manufacture of computer, electronic and optical products","26","division","2019",490
"26 : Manufacture of computer, electronic and optical products","26","division","2020",485
"26 : Manufacture of computer, electronic and optical products","26","division","2021",480
"26 : Manufacture of computer, electronic and optical products","26","division","2022",480
"26 : Manufacture of computer, electronic and optical products","26","division","2023",380
"26 : Manufacture of computer, electronic and optical products","26","division","2024",390
"261 : Manufacture of electronic components and boards","261","group","2019",65
"261 : Manufacture of electronic components and boards","261","group","2020",65
"261 : Manufacture of electronic components and boards","261","group","2021",60
"261 : Manufacture of electronic components and boards","261","group","2022",75
"261 : Manufacture of electronic components and boards","261","group","2023",55
"261 : Manufacture of electronic components and boards","261","group","2024",50
"262 : Manufacture of computers and peripheral equipment","262","group","2019",80
"262 : Manufacture of computers and peripheral equipment","262","group","2020",80
"262 : Manufacture of computers and peripheral equipment","262","group","2021",80
"262 : Manufacture of computers and peripheral equipment","262","group","2022",85
"262 : Manufacture of computers and peripheral equipment","262","group","2023",40
"262 : Manufacture of computers and peripheral equipment","262","group","2024",45
"263 : Manufacture of communication equipment","263","group","2019",110
"263 : Manufacture of communication equipment","263","group","2020",90
"263 : Manufacture of communication equipment","263","group","2021",80
"263 : Manufacture of communication equipment","263","group","2022",75
"263 : Manufacture of communication equipment","263","group","2023",65
"263 : Manufacture of communication equipment","263","group","2024",70
"264 : Manufacture of consumer electronics","264","group","2019",60
"264 : Manufacture of consumer electronics","264","group","2020",55
"264 : Manufacture of consumer electronics","264","group","2021",60
"264 : Manufacture of consumer electronics","264","group","2022",65
"264 : Manufacture of consumer electronics","264","group","2023",65
"264 : Manufacture of consumer electronics","264","group","2024",70
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","265","group","2019",100
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","265","group","2020",105
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","265","group","2021",125
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","265","group","2022",95
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","265","group","2023",75
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","265","group","2024",80
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","group","2019",15
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","group","2020",25
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","group","2021",20
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","group","2022",10
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","group","2023",15
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","group","2024",5
"267 : Manufacture of optical instruments and photographic equipment","267","group","2019",55
"267 : Manufacture of optical instruments and photographic equipment","267","group","2020",60
"267 : Manufacture of optical instruments and photographic equipment","267","group","2021",45
"267 : Manufacture of optical instruments and photographic equipment","267","group","2022",65
"267 : Manufacture of optical instruments and photographic equipment","267","group","2023",60
"267 : Manufacture of optical instruments and photographic equipment","267","group","2024",70
"268 : Manufacture of magnetic and optical media","268","group","2019",5
"268 : Manufacture of magnetic and optical media","268","group","2020",5
"268 : Manufacture of magnetic and optical media","268","group","2021",10
"268 : Manufacture of magnetic and optical media","268","group","2022",10
"268 : Manufacture of magnetic and optical media","268","group","2023",5
"268 : Manufacture of magnetic and optical media","268","group","2024",0
"27 : Manufacture of electrical equipment","27","division","2019",255
"27 : Manufacture of electrical equipment","27","division","2020",295
"27 : Manufacture of electrical equipment","27","division","2021",285
"27 : Manufacture of electrical equipment","27","division","2022",305
"27 : Manufacture of electrical equipment","27","division","2023",230
"27 : Manufacture of electrical equipment","27","division","2024",220
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","group","2019",50
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","group","2020",40
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","group","2021",45
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","group","2022",65
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","group","2023",55
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","group","2024",40
"272 : Manufacture of batteries and accumulators","272","group","2019",15
"272 : Manufacture of batteries and accumulators","272","group","2020",15
"272 : Manufacture of batteries and accumulators","272","group","2021",15
"272 : Manufacture of batteries and accumulators","272","group","2022",15
"272 : Manufacture of batteries and accumulators","272","group","2023",25
"272 : Manufacture of batteries and accumulators","272","group","2024",15
"273 : Manufacture of wiring and wiring devices","273","group","2019",35
"273 : Manufacture of wiring and wiring devices","273","group","2020",30
"273 : Manufacture of wiring and wiring devices","273","group","2021",45
"273 : Manufacture of wiring and wiring devices","273","group","2022",45
"273 : Manufacture of wiring and wiring devices","273","group","2023",30
"273 : Manufacture of wiring and wiring devices","273","group","2024",20
"274 : Manufacture of electric lighting equipment","274","group","2019",55
"274 : Manufacture of electric lighting equipment","274","group","2020",80
"274 : Manufacture of electric lighting equipment","274","group","2021",75
"274 : Manufacture of electric lighting equipment","274","group","2022",45
"274 : Manufacture of electric lighting equipment","274","group","2023",35
"274 : Manufacture of electric lighting equipment","274","group","2024",45
"275 : Manufacture of domestic appliances","275","group","2019",40
"275 : Manufacture of domestic appliances","275","group","2020",50
"275 : Manufacture of domestic appliances","275","group","2021",45
"275 : Manufacture of domestic appliances","275","group","2022",65
"275 : Manufacture of domestic appliances","275","group","2023",30
"275 : Manufacture of domestic appliances","275","group","2024",30
"279 : Manufacture of other electrical equipment","279","group","2019",60
"279 : Manufacture of other electrical equipment","279","group","2020",80
"279 : Manufacture of other electrical equipment","279","group","2021",60
"279 : Manufacture of other electrical equipment","279","group","2022",70
"279 : Manufacture of other electrical equipment","279","group","2023",55
"279 : Manufacture of other electrical equipment","279","group","2024",70
"28 : Manufacture of machinery and equipment n.e.c.","28","division","2019",585
"28 : Manufacture of machinery and equipment n.e.c.","28","division","2020",535
"28 : Manufacture of machinery and equipment n.e.c.","28","division","2021",495
"28 : Manufacture of machinery and equipment n.e.c.","28","division","2022",790
"28 : Manufacture of machinery and equipment n.e.c.","28","division","2023",425
"28 : Manufacture of machinery and equipment n.e.c.","28","division","2024",470
"281 : Manufacture of general-purpose machinery","281","group","2019",80
"281 : Manufacture of general-purpose machinery","281","group","2020",70
"281 : Manufacture of general-purpose machinery","281","group","2021",75
"281 : Manufacture of general-purpose machinery","281","group","2022",90
"281 : Manufacture of general-purpose machinery","281","group","2023",60
"281 : Manufacture of general-purpose machinery","281","group","2024",70
"282 : Manufacture of other general-purpose machinery","282","group","2019",185
"282 : Manufacture of other general-purpose machinery","282","group","2020",195
"282 : Manufacture of other general-purpose machinery","282","group","2021",190
"282 : Manufacture of other general-purpose machinery","282","group","2022",200
"282 : Manufacture of other general-purpose machinery","282","group","2023",140
"282 : Manufacture of other general-purpose machinery","282","group","2024",145
"283 : Manufacture of agricultural and forestry machinery","283","group","2019",120
"283 : Manufacture of agricultural and forestry machinery","283","group","2020",110
"283 : Manufacture of agricultural and forestry machinery","283","group","2021",55
"283 : Manufacture of agricultural and forestry machinery","283","group","2022",105
"283 : Manufacture of agricultural and forestry machinery","283","group","2023",90
"283 : Manufacture of agricultural and forestry machinery","283","group","2024",95
"284 : Manufacture of metal forming machinery and machine tools","284","group","2019",65
"284 : Manufacture of metal forming machinery and machine tools","284","group","2020",50
"284 : Manufacture of metal forming machinery and machine tools","284","group","2021",35
"284 : Manufacture of metal forming machinery and machine tools","284","group","2022",50
"284 : Manufacture of metal forming machinery and machine tools","284","group","2023",35
"284 : Manufacture of metal forming machinery and machine tools","284","group","2024",40
"289 : Manufacture of other special-purpose machinery","289","group","2019",135
"289 : Manufacture of other special-purpose machinery","289","group","2020",110
"289 : Manufacture of other special-purpose machinery","289","group","2021",140
"289 : Manufacture of other special-purpose machinery","289","group","2022",345
"289 : Manufacture of other special-purpose machinery","289","group","2023",100
"289 : Manufacture of other special-purpose machinery","289","group","2024",120
"29 : Manufacture of motor vehicles, trailers and semi-trailers","29","division","2019",445
"29 : Manufacture of motor vehicles, trailers and semi-trailers","29","division","2020",395
"29 : Manufacture of motor vehicles, trailers and semi-trailers","29","division","2021",570
"29 : Manufacture of motor vehicles, trailers and semi-trailers","29","division","2022",435
"29 : Manufacture of motor vehicles, trailers and semi-trailers","29","division","2023",320
"29 : Manufacture of motor vehicles, trailers and semi-trailers","29","division","2024",315
"291 : Manufacture of motor vehicles","291","group","2019",110
"291 : Manufacture of motor vehicles","291","group","2020",95
"291 : Manufacture of motor vehicles","291","group","2021",225
"291 : Manufacture of motor vehicles","291","group","2022",105
"291 : Manufacture of motor vehicles","291","group","2023",70
"291 : Manufacture of motor vehicles","291","group","2024",85
"292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","group","2019",110
"292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","group","2020",125
"292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","group","2021",185
"292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","group","2022",135
"292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","group","2023",115
"292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","group","2024",100
"293 : Manufacture of parts and accessories for motor vehicles","293","group","2019",225
"293 : Manufacture of parts and accessories for motor vehicles","293","group","2020",175
"293 : Manufacture of parts and accessories for motor vehicles","293","group","2021",160
"293 : Manufacture of parts and accessories for motor vehicles","293","group","2022",195
"293 : Manufacture of parts and accessories for motor vehicles","293","group","2023",135
"293 : Manufacture of parts and accessories for motor vehicles","293","group","2024",130
"30 : Manufacture of other transport equipment","30","division","2019",275
"30 : Manufacture of other transport equipment","30","division","2020",230
"30 : Manufacture of other transport equipment","30","division","2021",280
"30 : Manufacture of other transport equipment","30","division","2022",280
"30 : Manufacture of other transport equipment","30","division","2023",205
"30 : Manufacture of other transport equipment","30","division","2024",150
"301 : Building of ships and boats","301","group","2019",105
"301 : Building of ships and boats","301","group","2020",80
"301 : Building of ships and boats","301","group","2021",115
"301 : Building of ships and boats","301","group","2022",150
"301 : Building of ships and boats","301","group","2023",100
"301 : Building of ships and boats","301","group","2024",60
"302 : Manufacture of railway locomotives and rolling stock","302","group","2019",50
"302 : Manufacture of railway locomotives and rolling stock","302","group","2020",55
"302 : Manufacture of railway locomotives and rolling stock","302","group","2021",40
"302 : Manufacture of railway locomotives and rolling stock","302","group","2022",30
"302 : Manufacture of railway locomotives and rolling stock","302","group","2023",15
"302 : Manufacture of railway locomotives and rolling stock","302","group","2024",25
"303 : Manufacture of air and spacecraft and related machinery","303","group","2019",65
"303 : Manufacture of air and spacecraft and related machinery","303","group","2020",45
"303 : Manufacture of air and spacecraft and related machinery","303","group","2021",65
"303 : Manufacture of air and spacecraft and related machinery","303","group","2022",35
"303 : Manufacture of air and spacecraft and related machinery","303","group","2023",35
"303 : Manufacture of air and spacecraft and related machinery","303","group","2024",25
"304 : Manufacture of military fighting vehicles","304","group","2019",5
"304 : Manufacture of military fighting vehicles","304","group","2020",0
"304 : Manufacture of military fighting vehicles","304","group","2021",0
"304 : Manufacture of military fighting vehicles","304","group","2022",5
"304 : Manufacture of military fighting vehicles","304","group","2023",5
"304 : Manufacture of military fighting vehicles","304","group","2024",0
"309 : Manufacture of transport equipment n.e.c.","309","group","2019",50
"309 : Manufacture of transport equipment n.e.c.","309","group","2020",50
"309 : Manufacture of transport equipment n.e.c.","309","group","2021",60
"309 : Manufacture of transport equipment n.e.c.","309","group","2022",60
"309 : Manufacture of transport equipment n.e.c.","309","group","2023",50
"309 : Manufacture of transport equipment n.e.c.","309","group","2024",40
"31 : Manufacture of furniture","31","division","2019",600
"31 : Manufacture of furniture","31","division","2020",650
"31 : Manufacture of furniture","31","division","2021",820
"31 : Manufacture of furniture","31","division","2022",680
"31 : Manufacture of furniture","31","division","2023",585
"31 : Manufacture of furniture","31","division","2024",570
"310 : Manufacture of furniture","310","group","2019",600
"310 : Manufacture of furniture","310","group","2020",650
"310 : Manufacture of furniture","310","group","2021",820
"310 : Manufacture of furniture","310","group","2022",680
"310 : Manufacture of furniture","310","group","2023",585
"310 : Manufacture of furniture","310","group","2024",570
"32 : Other manufacturing","32","division","2019",1460
"32 : Other manufacturing","32","division","2020",1285
"32 : Other manufacturing","32","division","2021",1105
"32 : Other manufacturing","32","division","2022",1035
"32 : Other manufacturing","32","division","2023",980
"32 : Other manufacturing","32","division","2024",970
"321 : Manufacture of jewellery, bijouterie and related articles","321","group","2019",160
"321 : Manufacture of jewellery, bijouterie and related articles","321","group","2020",145
"321 : Manufacture of jewellery, bijouterie and related articles","321","group","2021",195
"321 : Manufacture of jewellery, bijouterie and related articles","321","group","2022",225
"321 : Manufacture of jewellery, bijouterie and related articles","321","group","2023",190
"321 : Manufacture of jewellery, bijouterie and related articles","321","group","2024",165
"322 : Manufacture of musical instruments","322","group","2019",15
"322 : Manufacture of musical instruments","322","group","2020",30
"322 : Manufacture of musical instruments","322","group","2021",40
"322 : Manufacture of musical instruments","322","group","2022",20
"322 : Manufacture of musical instruments","322","group","2023",25
"322 : Manufacture of musical instruments","322","group","2024",20
"323 : Manufacture of sports goods","323","group","2019",105
"323 : Manufacture of sports goods","323","group","2020",135
"323 : Manufacture of sports goods","323","group","2021",150
"323 : Manufacture of sports goods","323","group","2022",110
"323 : Manufacture of sports goods","323","group","2023",85
"323 : Manufacture of sports goods","323","group","2024",75
"324 : Manufacture of games and toys","324","group","2019",85
"324 : Manufacture of games and toys","324","group","2020",115
"324 : Manufacture of games and toys","324","group","2021",150
"324 : Manufacture of games and toys","324","group","2022",150
"324 : Manufacture of games and toys","324","group","2023",105
"324 : Manufacture of games and toys","324","group","2024",90
"325 : Manufacture of medical and dental instruments and supplies","325","group","2019",100
"325 : Manufacture of medical and dental instruments and supplies","325","group","2020",180
"325 : Manufacture of medical and dental instruments and supplies","325","group","2021",145
"325 : Manufacture of medical and dental instruments and supplies","325","group","2022",100
"325 : Manufacture of medical and dental instruments and supplies","325","group","2023",70
"325 : Manufacture of medical and dental instruments and supplies","325","group","2024",80
"329 : Other manufacturing n.e.c.","329","group","2019",995
"329 : Other manufacturing n.e.c.","329","group","2020",680
"329 : Other manufacturing n.e.c.","329","group","2021",425
"329 : Other manufacturing n.e.c.","329","group","2022",430
"329 : Other manufacturing n.e.c.","329","group","2023",505
"329 : Other manufacturing n.e.c.","329","group","2024",540
"33 : Repair and installation of machinery and equipment","33","division","2019",2380
"33 : Repair and installation of machinery and equipment","33","division","2020",2095
"33 : Repair and installation of machinery and equipment","33","division","2021",1750
"33 : Repair and installation of machinery and equipment","33","division","2022",1675
"33 : Repair and installation of machinery and equipment","33","division","2023",1595
"33 : Repair and installation of machinery and equipment","33","division","2024",1595
"331 : Repair of fabricated metal products, machinery and equipment","331","group","2019",2100
"331 : Repair of fabricated metal products, machinery and equipment","331","group","2020",1845
"331 : Repair of fabricated metal products, machinery and equipment","331","group","2021",1490
"331 : Repair of fabricated metal products, machinery and equipment","331","group","2022",1445
"331 : Repair of fabricated metal products, machinery and equipment","331","group","2023",1435
"331 : Repair of fabricated metal products, machinery and equipment","331","group","2024",1455
"332 : Installation of industrial machinery and equipment","332","group","2019",280
"332 : Installation of industrial machinery and equipment","332","group","2020",250
"332 : Installation of industrial machinery and equipment","332","group","2021",260
"332 : Installation of industrial machinery and equipment","332","group","2022",230
"332 : Installation of industrial machinery and equipment","332","group","2023",160
"332 : Installation of industrial machinery and equipment","332","group","2024",140
"35 : Electricity, gas, steam and air conditioning supply","35","division","2019",630
"35 : Electricity, gas, steam and air conditioning supply","35","division","2020",535
"35 : Electricity, gas, steam and air conditioning supply","35","division","2021",605
"35 : Electricity, gas, steam and air conditioning supply","35","division","2022",520
"35 : Electricity, gas, steam and air conditioning supply","35","division","2023",590
"35 : Electricity, gas, steam and air conditioning supply","35","division","2024",560
"351 : Electric power generation, transmission and distribution","351","group","2019",595
"351 : Electric power generation, transmission and distribution","351","group","2020",495
"351 : Electric power generation, transmission and distribution","351","group","2021",570
"351 : Electric power generation, transmission and distribution","351","group","2022",485
"351 : Electric power generation, transmission and distribution","351","group","2023",565
"351 : Electric power generation, transmission and distribution","351","group","2024",525
"352 : Manufacture of gas; distribution of gaseous fuels through mains","352","group","2019",35
"352 : Manufacture of gas; distribution of gaseous fuels through mains","352","group","2020",35
"352 : Manufacture of gas; distribution of gaseous fuels through mains","352","group","2021",25
"352 : Manufacture of gas; distribution of gaseous fuels through mains","352","group","2022",30
"352 : Manufacture of gas; distribution of gaseous fuels through mains","352","group","2023",25
"352 : Manufacture of gas; distribution of gaseous fuels through mains","352","group","2024",30
"353 : Steam and air conditioning supply","353","group","2019",0
"353 : Steam and air conditioning supply","353","group","2020",5
"353 : Steam and air conditioning supply","353","group","2021",10
"353 : Steam and air conditioning supply","353","group","2022",5
"353 : Steam and air conditioning supply","353","group","2023",0
"353 : Steam and air conditioning supply","353","group","2024",5
"36 : Water collection, treatment and supply","36","division","2019",5
"36 : Water collection, treatment and supply","36","division","2020",5
"36 : Water collection, treatment and supply","36","division","2021",0
"36 : Water collection, treatment and supply","36","division","2022",5
"36 : Water collection, treatment and supply","36","division","2023",5
"36 : Water collection, treatment and supply","36","division","2024",10
"360 : Water collection, treatment and supply","360","group","2019",5
"360 : Water collection, treatment and supply","360","group","2020",5
"360 : Water collection, treatment and supply","360","group","2021",0
"360 : Water collection, treatment and supply","360","group","2022",5
"360 : Water collection, treatment and supply","360","group","2023",5
"360 : Water collection, treatment and supply","360","group","2024",10
"37 : Sewerage","37","division","2019",80
"37 : Sewerage","37","division","2020",120
"37 : Sewerage","37","division","2021",140
"37 : Sewerage","37","division","2022",115
"37 : Sewerage","37","division","2023",120
"37 : Sewerage","37","division","2024",130
"370 : Sewerage","370","group","2019",80
"370 : Sewerage","370","group","2020",120
"370 : Sewerage","370","group","2021",140
"370 : Sewerage","370","group","2022",115
"370 : Sewerage","370","group","2023",120
"370 : Sewerage","370","group","2024",130
"38 : Waste collection, treatment and disposal activities; materials recovery","38","division","2019",630
"38 : Waste collection, treatment and disposal activities; materials recovery","38","division","2020",660
"38 : Waste collection, treatment and disposal activities; materials recovery","38","division","2021",830
"38 : Waste collection, treatment and disposal activities; materials recovery","38","division","2022",720
"38 : Waste collection, treatment and disposal activities; materials recovery","38","division","2023",585
"38 : Waste collection, treatment and disposal activities; materials recovery","38","division","2024",620
"381 : Waste collection","381","group","2019",365
"381 : Waste collection","381","group","2020",415
"381 : Waste collection","381","group","2021",535
"381 : Waste collection","381","group","2022",485
"381 : Waste collection","381","group","2023",405
"381 : Waste collection","381","group","2024",435
"382 : Waste treatment and disposal","382","group","2019",115
"382 : Waste treatment and disposal","382","group","2020",110
"382 : Waste treatment and disposal","382","group","2021",140
"382 : Waste treatment and disposal","382","group","2022",110
"382 : Waste treatment and disposal","382","group","2023",90
"382 : Waste treatment and disposal","382","group","2024",90
"383 : Materials recovery","383","group","2019",150
"383 : Materials recovery","383","group","2020",135
"383 : Materials recovery","383","group","2021",155
"383 : Materials recovery","383","group","2022",125
"383 : Materials recovery","383","group","2023",90
"383 : Materials recovery","383","group","2024",95
"39 : Remediation activities and other waste management services.","39","division","2019",190
"39 : Remediation activities and other waste management services.","39","division","2020",190
"39 : Remediation activities and other waste management services.","39","division","2021",175
"39 : Remediation activities and other waste management services.","39","division","2022",180
"39 : Remediation activities and other waste management services.","39","division","2023",140
"39 : Remediation activities and other waste management services.","39","division","2024",140
"390 : Remediation activities and other waste management services","390","group","2019",190
"390 : Remediation activities and other waste management services","390","group","2020",190
"390 : Remediation activities and other waste management services","390","group","2021",175
"390 : Remediation activities and other waste management services","390","group","2022",180
"390 : Remediation activities and other waste management services","390","group","2023",140
"390 : Remediation activities and other waste management services","390","group","2024",140
"41 : Construction of buildings","41","division","2019",16175
"41 : Construction of buildings","41","division","2020",15525
"41 : Construction of buildings","41","division","2021",19655
"41 : Construction of buildings","41","division","2022",18060
"41 : Construction of buildings","41","division","2023",16355
"41 : Construction of buildings","41","division","2024",15390
"411 : Development of building projects","411","group","2019",6790
"411 : Development of building projects","411","group","2020",6335
"411 : Development of building projects","411","group","2021",7315
"411 : Development of building projects","411","group","2022",5895
"411 : Development of building projects","411","group","2023",5670
"411 : Development of building projects","411","group","2024",5120
"412 : Construction of residential and non-residential buildings","412","group","2019",9385
"412 : Construction of residential and non-residential buildings","412","group","2020",9190
"412 : Construction of residential and non-residential buildings","412","group","2021",12340
"412 : Construction of residential and non-residential buildings","412","group","2022",12165
"412 : Construction of residential and non-residential buildings","412","group","2023",10685
"412 : Construction of residential and non-residential buildings","412","group","2024",10270
"42 : Civil engineering","42","division","2019",4150
"42 : Civil engineering","42","division","2020",3345
"42 : Civil engineering","42","division","2021",3050
"42 : Civil engineering","42","division","2022",2965
"42 : Civil engineering","42","division","2023",3165
"42 : Civil engineering","42","division","2024",3065
"421 : Construction of roads and railways","421","group","2019",2180
"421 : Construction of roads and railways","421","group","2020",1595
"421 : Construction of roads and railways","421","group","2021",1360
"421 : Construction of roads and railways","421","group","2022",1295
"421 : Construction of roads and railways","421","group","2023",1430
"421 : Construction of roads and railways","421","group","2024",1365
"422 : Construction of utility projects","422","group","2019",350
"422 : Construction of utility projects","422","group","2020",370
"422 : Construction of utility projects","422","group","2021",415
"422 : Construction of utility projects","422","group","2022",510
"422 : Construction of utility projects","422","group","2023",565
"422 : Construction of utility projects","422","group","2024",565
"429 : Construction of other civil engineering projects","429","group","2019",1620
"429 : Construction of other civil engineering projects","429","group","2020",1380
"429 : Construction of other civil engineering projects","429","group","2021",1275
"429 : Construction of other civil engineering projects","429","group","2022",1160
"429 : Construction of other civil engineering projects","429","group","2023",1170
"429 : Construction of other civil engineering projects","429","group","2024",1135
"43 : Specialised construction activities","43","division","2019",28245
"43 : Specialised construction activities","43","division","2020",23615
"43 : Specialised construction activities","43","division","2021",30270
"43 : Specialised construction activities","43","division","2022",28365
"43 : Specialised construction activities","43","division","2023",27595
"43 : Specialised construction activities","43","division","2024",26500
"431 : Demolition and site preparation","431","group","2019",980
"431 : Demolition and site preparation","431","group","2020",635
"431 : Demolition and site preparation","431","group","2021",560
"431 : Demolition and site preparation","431","group","2022",450
"431 : Demolition and site preparation","431","group","2023",465
"431 : Demolition and site preparation","431","group","2024",435
"432 : Electrical, plumbing and other construction installation activities","432","group","2019",10610
"432 : Electrical, plumbing and other construction installation activities","432","group","2020",9355
"432 : Electrical, plumbing and other construction installation activities","432","group","2021",12470
"432 : Electrical, plumbing and other construction installation activities","432","group","2022",11535
"432 : Electrical, plumbing and other construction installation activities","432","group","2023",11935
"432 : Electrical, plumbing and other construction installation activities","432","group","2024",11440
"433 : Building completion and finishing","433","group","2019",11560
"433 : Building completion and finishing","433","group","2020",8845
"433 : Building completion and finishing","433","group","2021",12090
"433 : Building completion and finishing","433","group","2022",11335
"433 : Building completion and finishing","433","group","2023",9440
"433 : Building completion and finishing","433","group","2024",8655
"439 : Other specialised construction activities","439","group","2019",5095
"439 : Other specialised construction activities","439","group","2020",4780
"439 : Other specialised construction activities","439","group","2021",5150
"439 : Other specialised construction activities","439","group","2022",5045
"439 : Other specialised construction activities","439","group","2023",5755
"439 : Other specialised construction activities","439","group","2024",5970
"45 : Wholesale and retail trade and repair of motor vehicles and motorcycles","45","division","2019",7420
"45 : Wholesale and retail trade and repair of motor vehicles and motorcycles","45","division","2020",7600
"45 : Wholesale and retail trade and repair of motor vehicles and motorcycles","45","division","2021",8860
