"industry_raw","industry_code","industry_level","year","active_enterprises_10plus_employees"
"105 : Manufacture of dairy products","105","group","2019",225
"105 : Manufacture of dairy products","105","group","2020",220
"105 : Manufacture of dairy products","105","group","2021",215
"105 : Manufacture of dairy products","105","group","2022",230
"105 : Manufacture of dairy products","105","group","2023",220
"105 : Manufacture of dairy products","105","group","2024",235
"106 : Manufacture of grain mill products, starches and starch products","106","group","2019",65
"106 : Manufacture of grain mill products, starches and starch products","106","group","2020",60
"106 : Manufacture of grain mill products, starches and starch products","106","group","2021",60
"106 : Manufacture of grain mill products, starches and starch products","106","group","2022",60
"106 : Manufacture of grain mill products, starches and starch products","106","group","2023",60
"106 : Manufacture of grain mill products, starches and starch products","106","group","2024",60
"107 : Manufacture of bakery and farinaceous products","107","group","2019",970
"107 : Manufacture of bakery and farinaceous products","107","group","2020",950
"107 : Manufacture of bakery and farinaceous products","107","group","2021",965
"107 : Manufacture of bakery and farinaceous products","107","group","2022",1000
"107 : Manufacture of bakery and farinaceous products","107","group","2023",1025
"107 : Manufacture of bakery and farinaceous products","107","group","2024",1005
"108 : Manufacture of other food products","108","group","2019",610
"108 : Manufacture of other food products","108","group","2020",610
"108 : Manufacture of other food products","108","group","2021",650
"108 : Manufacture of other food products","108","group","2022",665
"108 : Manufacture of other food products","108","group","2023",680
"108 : Manufacture of other food products","108","group","2024",715
"109 : Manufacture of prepared animal feeds","109","group","2019",175
"109 : Manufacture of prepared animal feeds","109","group","2020",180
"109 : Manufacture of prepared animal feeds","109","group","2021",200
"109 : Manufacture of prepared animal feeds","109","group","2022",195
"109 : Manufacture of prepared animal feeds","109","group","2023",200
"109 : Manufacture of prepared animal feeds","109","group","2024",205
"11 : Manufacture of beverages","11","division","2019",420
"11 : Manufacture of beverages","11","division","2020",435
"11 : Manufacture of beverages","11","division","2021",440
"11 : Manufacture of beverages","11","division","2022",510
"11 : Manufacture of beverages","11","division","2023",515
"11 : Manufacture of beverages","11","division","2024",550
"110 : Manufacture of beverages","110","group","2019",420
"110 : Manufacture of beverages","110","group","2020",435
"110 : Manufacture of beverages","110","group","2021",440
"110 : Manufacture of beverages","110","group","2022",510
"110 : Manufacture of beverages","110","group","2023",515
"110 : Manufacture of beverages","110","group","2024",550
"12 : Manufacture of tobacco products","12","division","2019",5
"12 : Manufacture of tobacco products","12","division","2020",5
"12 : Manufacture of tobacco products","12","division","2021",5
"12 : Manufacture of tobacco products","12","division","2022",0
"12 : Manufacture of tobacco products","12","division","2023",0
"12 : Manufacture of tobacco products","12","division","2024",0
"120 : Manufacture of tobacco products","120","group","2019",5
"120 : Manufacture of tobacco products","120","group","2020",5
"120 : Manufacture of tobacco products","120","group","2021",5
"120 : Manufacture of tobacco products","120","group","2022",0
"120 : Manufacture of tobacco products","120","group","2023",0
"120 : Manufacture of tobacco products","120","group","2024",0
"13 : Manufacture of textiles","13","division","2019",975
"13 : Manufacture of textiles","13","division","2020",940
"13 : Manufacture of textiles","13","division","2021",945
"13 : Manufacture of textiles","13","division","2022",920
"13 : Manufacture of textiles","13","division","2023",915
"13 : Manufacture of textiles","13","division","2024",885
"131 : Preparation and spinning of textile fibres","131","group","2019",40
"131 : Preparation and spinning of textile fibres","131","group","2020",40
"131 : Preparation and spinning of textile fibres","131","group","2021",35
"131 : Preparation and spinning of textile fibres","131","group","2022",35
"131 : Preparation and spinning of textile fibres","131","group","2023",35
"131 : Preparation and spinning of textile fibres","131","group","2024",35
"132 : Weaving of textiles","132","group","2019",65
"132 : Weaving of textiles","132","group","2020",65
"132 : Weaving of textiles","132","group","2021",65
"132 : Weaving of textiles","132","group","2022",65
"132 : Weaving of textiles","132","group","2023",70
"132 : Weaving of textiles","132","group","2024",65
"133 : Finishing of textiles","133","group","2019",215
"133 : Finishing of textiles","133","group","2020",195
"133 : Finishing of textiles","133","group","2021",185
"133 : Finishing of textiles","133","group","2022",170
"133 : Finishing of textiles","133","group","2023",165
"133 : Finishing of textiles","133","group","2024",155
"139 : Manufacture of other textiles","139","group","2019",655
