model,.metric,mean,std_err,n
Naive lag baseline,mae,0.22751589995927513,0.024463925717947435,2
Naive lag baseline,rmse,0.42428637898374677,0.09018986066696323,2
Naive lag baseline,rsq,0.9695536306425965,0.012070022595906116,2
