mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,15,rmse,standard,0.3857405633689507,2,0.030114803849703827,pre0_mod4_post0
3,5,rmse,standard,0.3921000572331431,2,0.028197148049924677,pre0_mod3_post0
2,5,rmse,standard,0.3953005331579159,2,0.03721481530477,pre0_mod1_post0
2,15,rmse,standard,0.409112881464855,2,0.03662081480415432,pre0_mod2_post0
